DateLong,Venue,Year,ShortDate
"February 9, 1973","Roscoe Maples Pavilion, Stanford U. Palo Alto, CA",1973,1973-02-09
"February 15, 1973","Dane County Coliseum, Madison, WI",1973,1973-02-15
"February 17, 1973","St. Paul Auditorium, St. Paul, MN",1973,1973-02-17
"February 19, 1973","International Amphitheatre, Chicago, IL",1973,1973-02-19
"February 21, 1973","Assembly Hall, U. of Illinois, Champaign-Urbana, IL",1973,1973-02-21
"February 22, 1973","Assembly Hall, U. of Illinois, Champaign-Urbana, IL",1973,1973-02-22
"February 24, 1973","U. of Iowa, Iowa City, IA",1973,1973-02-24
"February 26, 1973","Pershing Municipal Auditorium, Lincoln, NE",1973,1973-02-26
"February 28, 1973","Salt Palace, Salt Lake City, UT",1973,1973-02-28
"March 15, 1973","Nassau Coliseum, Uniondale, NY",1973,1973-03-15
"March 16, 1973","Nassau Coliseum, Uniondale, NY",1973,1973-03-16
"March 18, 1973","Winterland Arena, San Francisco, CA",1973,1973-03-18
"March 19, 1973","Nassau Coliseum, Uniondale, NY",1973,1973-03-19
"March 21, 1973","Utica Memorial Auditorium, Utica, NY",1973,1973-03-21
"March 22, 1973","Utica Memorial Auditorium, Utica, NY",1973,1973-03-22
"March 24, 1973","The Spectrum, Philadelphia, PA",1973,1973-03-24
"March 26, 1973","Baltimore Civic Center, Baltimore, MD",1973,1973-03-26
"March 28, 1973","Springfield Civic Center, Springfield, MA",1973,1973-03-28
"March 30, 1973","Community War Memorial Auditorium, Rochester, NY",1973,1973-03-30
"March 31, 1973","War Memorial Auditorium, Buffalo, NY",1973,1973-03-31
"April 2, 1973","Boston Garden, Boston, MA",1973,1973-04-02
"May 13, 1973","Des Moines State Fairgrounds, Des Moines, IA",1973,1973-05-13
"May 20, 1973","UC Santa Barbara Stadium, Santa Barbara, CA",1973,1973-05-20
"May 26, 1973","Kezar Stadium, San Francisco, CA",1973,1973-05-26
"June 9, 1973","RFK Stadium, Washington, DC",1973,1973-06-09
"June 10, 1973","RFK Stadium, Washington, DC",1973,1973-06-10
"June 22, 1973","P.N.E. Coliseum, Vancouver, British Columbia, Canada",1973,1973-06-22
"June 24, 1973","Portland Memorial Coliseum, Portland, OR",1973,1973-06-24
"June 26, 1973","Seattle Center Arena, Seattle, WA",1973,1973-06-26
"June 29, 1973","Universal Amphitheatre, Universal City, CA",1973,1973-06-29
"June 30, 1973","Universal Amphitheatre, Universal City, CA",1973,1973-06-30
"July 1, 1973","Universal Amphitheatre, Universal City, CA",1973,1973-07-01
"July 27, 1973","Grand Prix Racecourse, Watkins Glen, NY",1973,1973-07-27
"July 28, 1973","Grand Prix Racecourse, Watkins Glen, NY",1973,1973-07-28
"July 31, 1973","Roosevelt Stadium, Jersey City, NJ",1973,1973-07-31
"August 1, 1973","Roosevelt Stadium, Jersey City, NJ",1973,1973-08-01
"September 7, 1973","Nassau Coliseum, Uniondale, NY",1973,1973-09-07
"September 8, 1973","Nassau Coliseum, Uniondale, NY",1973,1973-09-08
"September 11, 1973","William and Mary College Hall, Williamsburg, VA",1973,1973-09-11
"September 12, 1973","William and Mary College Hall, Williamsburg, VA",1973,1973-09-12
"September 15, 1973","Providence Civic Center, Providence, RI",1973,1973-09-15
"September 17, 1973","Onondaga County War Memorial, Syracuse, NY",1973,1973-09-17
"September 20, 1973","The Spectrum, Philadelphia, PA",1973,1973-09-20
"September 21, 1973","The Spectrum, Philadelphia, PA",1973,1973-09-21
