DateLong,Venue,Year,ShortDate
"February 25, 1994","Oakland-Alameda County Coliseum, Oakland, CA",1994,1994-02-25
"February 26, 1994","Oakland-Alameda County Coliseum, Oakland, CA",1994,1994-02-26
"February 27, 1994","Oakland-Alameda County Coliseum, Oakland, CA",1994,1994-02-27
"March 4, 1994","Desert Sky Pavilion, Phoenix, AZ",1994,1994-03-04
"March 5, 1994","Desert Sky Pavilion, Phoenix, AZ",1994,1994-03-05
"March 6, 1994","Desert Sky Pavilion, Phoenix, AZ",1994,1994-03-06
"March 16, 1994","Rosemont Horizon, Rosemont, IL",1994,1994-03-16
"March 17, 1994","Rosemont Horizon, Rosemont, IL",1994,1994-03-17
"March 18, 1994","Rosemont Horizon, Rosemont, IL",1994,1994-03-18
"March 20, 1994","Richfield Coliseum, Richfield, OH",1994,1994-03-20
"March 21, 1994","Richfield Coliseum, Richfield, OH",1994,1994-03-21
"March 23, 1994","Nassau Coliseum, Uniondale, NY",1994,1994-03-23
"March 24, 1994","Nassau Coliseum, Uniondale, NY",1994,1994-03-24
"March 25, 1994","Nassau Coliseum, Uniondale, NY",1994,1994-03-25
"March 27, 1994","Nassau Coliseum, Uniondale, NY",1994,1994-03-27
"March 28, 1994","Nassau Coliseum, Uniondale, NY",1994,1994-03-28
"March 30, 1994","The Omni, Atlanta, GA",1994,1994-03-30
"March 31, 1994","The Omni, Atlanta, GA",1994,1994-03-31
"April 1, 1994","The Omni, Atlanta, GA",1994,1994-04-01
"April 4, 1994","Sports Arena, Atlanta, GA",1994,1994-04-04
"April 6, 1994","Miami Arena, Miami, FL",1994,1994-04-06
"April 7, 1994","Miami Arena, Miami, FL",1994,1994-04-07
"April 8, 1994","Miami Arena, Miami, FL",1994,1994-04-08
"June 8, 1994","Cal Expo, Sacramento, CA",1994,1994-06-08
"June 9, 1994","Cal Expo, Sacramento, CA",1994,1994-06-09
"June 10, 1994","Cal Expo, Sacramento, CA",1994,1994-06-10
"June 13, 1994","Memorial Stadium, Seattle, WA",1994,1994-06-13
"June 14, 1994","Memorial Stadium, Seattle, WA",1994,1994-06-14
"June 17, 1994","Autzen Stadium, U. of Oregon, Eugene, OR",1994,1994-06-17
"June 18, 1994","Autzen Stadium, U. of Oregon, Eugene, OR",1994,1994-06-18
"June 19, 1994","Autzen Stadium, U. of Oregon, Eugene, OR",1994,1994-06-19
"June 24, 1994","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1994,1994-06-24
"June 25, 1994","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1994,1994-06-25
"June 26, 1994","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1994,1994-06-26
"July 1, 1994","Shoreline Amphitheatre, Mountain View, CA",1994,1994-07-01
"July 2, 1994","Shoreline Amphitheatre, Mountain View, CA",1994,1994-07-02
"July 3, 1994","Shoreline Amphitheatre, Mountain View, CA",1994,1994-07-03
"July 13, 1994","Franklin County Airport, Highgate, VT",1994,1994-07-13
"July 16, 1994","RFK Stadium, Washington, DC",1994,1994-07-16
"July 17, 1994","RFK Stadium, Washington, DC",1994,1994-07-17
"July 19, 1994","Deer Creek Music Center, Noblesville, IN",1994,1994-07-19
"July 20, 1994","Deer Creek Music Center, Noblesville, IN",1994,1994-07-20
"July 21, 1994","Deer Creek Music Center, Noblesville, IN",1994,1994-07-21
"July 23, 1994","Soldier Field, Chicago, IL",1994,1994-07-23
"July 24, 1994","Soldier Field, Chicago, IL",1994,1994-07-24
"July 26, 1994","Riverport Amphitheatre, Maryland Heights, MO",1994,1994-07-26
"July 27, 1994","Riverport Amphitheatre, Maryland Heights, MO",1994,1994-07-27
"July 29, 1994","Buckeye Lake Music Center, Hebron, OH",1994,1994-07-29
"July 31, 1994","The Palace, Auburn Hills, MI",1994,1994-07-31
"August 1, 1994","The Palace, Auburn Hills, MI",1994,1994-08-01
"August 3, 1994","Giants Stadium, East Rutherford, NJ",1994,1994-08-03
"August 4, 1994","Giants Stadium, East Rutherford, NJ",1994,1994-08-04
"September 16, 1994","Shoreline Amphitheatre, Mountain View, CA",1994,1994-09-16
"September 17, 1994","Shoreline Amphitheatre, Mountain View, CA",1994,1994-09-17
"September 18, 1994","Shoreline Amphitheatre, Mountain View, CA",1994,1994-09-18
"September 27, 1994","Boston Garden, Boston, MA",1994,1994-09-27
"September 28, 1994","Boston Garden, Boston, MA",1994,1994-09-28
"September 29, 1994","Boston Garden, Boston, MA",1994,1994-09-29
"October 1, 1994","Boston Garden, Boston, MA",1994,1994-10-01
"October 2, 1994","Boston Garden, Boston, MA",1994,1994-10-02
"October 3, 1994","Boston Garden, Boston, MA",1994,1994-10-03
"October 5, 1994","The Spectrum, Philadelphia, PA",1994,1994-10-05
"October 6, 1994","The Spectrum, Philadelphia, PA",1994,1994-10-06
"October 7, 1994","The Spectrum, Philadelphia, PA",1994,1994-10-07
"October 9, 1994","USAir Arena, Landover, MD",1994,1994-10-09
"October 10, 1994","USAir Arena, Landover, MD",1994,1994-10-10
"October 11, 1994","USAir Arena, Landover, MD",1994,1994-10-11
"October 13, 1994","Madison Square Garden, New York, NY",1994,1994-10-13
"October 14, 1994","Madison Square Garden, New York, NY",1994,1994-10-14
"October 15, 1994","Madison Square Garden, New York, NY",1994,1994-10-15
"October 17, 1994","Madison Square Garden, New York, NY",1994,1994-10-17
"October 18, 1994","Madison Square Garden, New York, NY",1994,1994-10-18
"October 19, 1994","Madison Square Garden, New York, NY",1994,1994-10-19
"November 29, 1994","McNichols Sports Arena, Denver, CO",1994,1994-11-29
"November 30, 1994","McNichols Sports Arena, Denver, CO",1994,1994-11-30
"December 1, 1994","McNichols Sports Arena, Denver, CO",1994,1994-12-01
"December 8, 1994","Oakland-Alameda County Coliseum, Oakland, CA",1994,1994-12-08
"December 9, 1994","Oakland-Alameda County Coliseum, Oakland, CA",1994,1994-12-09
"December 11, 1994","Oakland-Alameda County Coliseum, Oakland, CA",1994,1994-12-11
"December 12, 1994","Oakland-Alameda County Coliseum, Oakland, CA",1994,1994-12-12
"December 15, 1994","Sports Arena, Atlanta, GA",1994,1994-12-15
"December 16, 1994","Sports Arena, Atlanta, GA",1994,1994-12-16
"December 18, 1994","Sports Arena, Atlanta, GA",1994,1994-12-18
"December 19, 1994","Sports Arena, Atlanta, GA",1994,1994-12-19
