"DateLong","Venue","Year","ShortDate"
"January 17, 1969","Civic Auditorium, Santa Barbara, CA",1969,"1969-01-17"
"January 18, 1969","Playboy Club, Los Angeles, CA",1969,"1969-01-18"
"January 24, 1969","Avalon Ballroom, San Francisco, CA",1969,"1969-01-24"
"January 25, 1969","Avalon Ballroom, San Francisco, CA",1969,"1969-01-25"
"January 26, 1969","Avalon Ballroom, San Francisco, CA",1969,"1969-01-26"
"February 2, 1969","Labor Temple Minneapolis, MN",1969,"1969-02-02"
"February 4, 1969","The Music Box, Omaha, NE",1969,"1969-02-04"
"February 5, 1969","Soldiers' and Sailors' Memorial Hall, Kansas City, KS",1969,"1969-02-05"
"February 6, 1969","Kiel Auditorium, St. Louis, MO",1969,"1969-02-06"
"February 7, 1969","Stanley Theatre (Early Show), Pittsburgh, PA",1969,"1969-02-07"
"February 12, 1969","Fillmore East (Early Show), New York, NY",1969,"1969-02-12"
"February 14, 1969","Electric Factory, Philadelphia, PA",1969,"1969-02-14"
"February 15, 1969","Electric Factory, Philadelphia, PA",1969,"1969-02-15"
"February 21, 1969","Dream Bowl, Vallejo, CA",1969,"1969-02-21"
"February 22, 1969","Dream Bowl, Vallejo, CA",1969,"1969-02-22"
"February 27, 1969","Fillmore West, San Francisco, CA",1969,"1969-02-27"
"February 28, 1969","Fillmore West, San Francisco, CA",1969,"1969-02-28"
"March 1, 1969","Fillmore West, San Francisco, CA",1969,"1969-03-01"
"March 2, 1969","Fillmore West, San Francisco, CA",1969,"1969-03-02"
"March 15, 1969","Hilton Hotel Ballroom, San Francisco, CA",1969,"1969-03-15"
"March 22, 1969","Rose Palace Pasadena, CA",1969,"1969-03-22"
"March 28, 1969","Student Center, Modesto Jr. College Modesto, CA",1969,"1969-03-28"
"March 29, 1969","Ice Palace Las Vegas, NV",1969,"1969-03-29"
"April 4, 1969","Avalon Ballroom, San Francisco, CA",1969,"1969-04-04"
"April 5, 1969","Avalon Ballroom, San Francisco, CA",1969,"1969-04-05"
"April 6, 1969","Avalon Ballroom, San Francisco, CA",1969,"1969-04-06"
"April 11, 1969","University Auditorium, U. Of Arizona, Tucson, AZ",1969,"1969-04-11"
"April 12, 1969","Student Union Ballroom, U. of Utah, Salt Lake City, UT",1969,"1969-04-12"
"April 13, 1969","Ballroom, U. of Colorado, Boulder, CO",1969,"1969-04-13"
"April 15, 1969","The Music Box, Omaha, NE",1969,"1969-04-15"
"April 17, 1969","The Quadrangle, Washington U. St. Louis, MO",1969,"1969-04-17"
"April 18, 1969","Memorial Union Ballroom, Purdue U. Lafayette, IN",1969,"1969-04-18"
"April 20, 1969","Atwood Hall, Clark U, Worcester, MA",1969,"1969-04-20"
"April 21, 1969","The Ark, Boston, MA",1969,"1969-04-21"
"April 22, 1969","The Ark, Boston, MA",1969,"1969-04-22"
"April 23, 1969","The Ark, Boston, MA",1969,"1969-04-23"
"April 25, 1969","Electric Theater, Chicago, IL",1969,"1969-04-25"
"April 26, 1969","Electric Theater, Chicago, IL",1969,"1969-04-26"
"April 27, 1969","Labor Temple, Minneapolis, MN",1969,"1969-04-27"
"May 3, 1969","Sierra College, Rocklin, CA",1969,"1969-05-03"
"May 7, 1969","Polo Field, Golden Gate Park, San Francisco, CA",1969,"1969-05-07"
"May 10, 1969","Rose Palace, Pasadena, CA",1969,"1969-05-10"
"May 11, 1969","Aztec Bowl, San Diego State College, San Diego, CA",1969,"1969-05-11"
"May 16, 1969","Campolindo High School, Moraga, CA",1969,"1969-05-16"
"May 23, 1969","Seminole Indian Reservation, Hollywood, FL",1969,"1969-05-23"
"May 24, 1969","Seminole Indian Reservation, Hollywood, FL",1969,"1969-05-24"
"May 29, 1969","Robertson Gym, U.C.S.B. Isle Vista, CA",1969,"1969-05-29"
"May 30, 1969","Springer's Inn, Portland, OR",1969,"1969-05-30"
"May 31, 1969","McArthur Court, U. of Oregon, Eugene, OR",1969,"1969-05-31"
"June 1, 1969","Avalon Ballroom, San Framcisco, CA",1969,"1969-06-01"
"June 5, 1969","Fillmore West, San Francisco, CA",1969,"1969-06-05"
"June 6, 1969","Fillmore West, San Francisco, CA",1969,"1969-06-06"
"June 7, 1969","Fillmore West, San Francisco, CA",1969,"1969-06-07"
"June 8, 1969","Fillmore West, San Francisco, CA",1969,"1969-06-08"
