DateLong,Venue,Year,ShortDate
"January 24, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-01-24
"January 25, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-01-25
"January 26, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-01-26
"February 21, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-02-21
"February 22, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-02-22
"February 23, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-02-23
"March 9, 1993","Rosemont Horizon, Rosemont, IL",1993,1993-03-09
"March 10, 1993","Rosemont Horizon, Rosemont, IL",1993,1993-03-10
"March 11, 1993","Rosemont Horizon, Rosemont, IL",1993,1993-03-11
"March 14, 1993","Richfield Coliseum, Richfield, OH",1993,1993-03-14
"March 16, 1993","Capital Centre, Landover, MD",1993,1993-03-16
"March 17, 1993","Capital Centre, Landover, MD",1993,1993-03-17
"March 18, 1993","Capital Centre, Landover, MD",1993,1993-03-18
"March 20, 1993","The Omni, Atlanta, GA",1993,1993-03-20
"March 21, 1993","The Omni, Atlanta, GA",1993,1993-03-21
"March 22, 1993","The Omni, Atlanta, GA",1993,1993-03-22
"March 24, 1993","Dean Smith Center, Chapel Hill, NC",1993,1993-03-24
"March 25, 1993","Dean Smith Center, Chapel Hill, NC",1993,1993-03-25
"March 27, 1993","Knickerbocker Arena, Albany, NY",1993,1993-03-27
"March 28, 1993","Knickerbocker Arena, Albany, NY",1993,1993-03-28
"March 29, 1993","Knickerbocker Arena, Albany, NY",1993,1993-03-29
"March 31, 1993","Nassau Coliseum, Uniondale, NY",1993,1993-03-31
"April 1, 1993","Nassau Coliseum, Uniondale, NY",1993,1993-04-01
"April 2, 1993","Nassau Coliseum, Uniondale, NY",1993,1993-04-02
"April 4, 1993","Nassau Coliseum, Uniondale, NY",1993,1993-04-04
"April 5, 1993","Nassau Coliseum, Uniondale, NY",1993,1993-04-05
"May 14, 1993","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1993,1993-05-14
"May 15, 1993","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1993,1993-05-15
"May 16, 1993","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1993,1993-05-16
"May 21, 1993","Shoreline Amphitheatre, Mountain View, CA",1993,1993-05-21
"May 22, 1993","Shoreline Amphitheatre, Mountain View, CA",1993,1993-05-22
"May 23, 1993","Shoreline Amphitheatre, Mountain View, CA",1993,1993-05-23
"May 25, 1993","Cal Expo, Sacramento, CA",1993,1993-05-25
"May 26, 1993","Cal Expo, Sacramento, CA",1993,1993-05-26
"May 27, 1993","Cal Expo, Sacramento, CA",1993,1993-05-27
"June 5, 1993","Giants Stadium, East Rutherford, NJ",1993,1993-06-05
"June 6, 1993","Giants Stadium, East Rutherford, NJ",1993,1993-06-06
"June 8, 1993","The Palace, Auburn Hills, MI",1993,1993-06-08
"June 9, 1993","The Palace, Auburn Hills, MI",1993,1993-06-09
"June 11, 1993","Buckeye Lake Music Center, Hebron, OH",1993,1993-06-11
"June 13, 1993","Rich Stadium, Buffalo, NY",1993,1993-06-13
"June 15, 1993","Freedom Hall, Louisville, KY",1993,1993-06-15
"June 16, 1993","Freedom Hall, Louisville, KY",1993,1993-06-16
"June 18, 1993","Soldier Field, Chicago, IL",1993,1993-06-18
"June 19, 1993","Soldier Field, Chicago, IL",1993,1993-06-19
"June 21, 1993","Deer Creek Music Center, Noblesville, IN",1993,1993-06-21
"June 22, 1993","Deer Creek Music Center, Noblesville, IN",1993,1993-06-22
"June 23, 1993","Deer Creek Music Center, Noblesville, IN",1993,1993-06-23
"June 25, 1993","RFK Stadium, Washington, DC",1993,1993-06-25
"June 26, 1993","RFK Stadium, Washington, DC",1993,1993-06-26
"August 21, 1993","Autzen Stadium, U. of Oregon, Eugene, OR",1993,1993-08-21
"August 22, 1993","Autzen Stadium, U. of Oregon, Eugene, OR",1993,1993-08-22
"August 25, 1993","Shoreline Amphitheatre, Mountain View, CA",1993,1993-08-25
"August 26, 1993","Shoreline Amphitheatre, Mountain View, CA",1993,1993-08-26
"August 27, 1993","Shoreline Amphitheatre, Mountain View, CA",1993,1993-08-27
"September 8, 1993","Richfield Coliseum, Richfield, OH",1993,1993-09-08
"September 9, 1993","Richfield Coliseum, Richfield, OH",1993,1993-09-09
"September 10, 1993","Richfield Coliseum, Richfield, OH",1993,1993-09-10
"September 12, 1993","The Spectrum, Philadelphia, PA",1993,1993-09-12
"September 13, 1993","The Spectrum, Philadelphia, PA",1993,1993-09-13
"September 14, 1993","The Spectrum, Philadelphia, PA",1993,1993-09-14
"September 16, 1993","Madison Square Garden, New York, NY",1993,1993-09-16
"September 17, 1993","Madison Square Garden, New York, NY",1993,1993-09-17
"September 18, 1993","Madison Square Garden, New York, NY",1993,1993-09-18
"September 20, 1993","Madison Square Garden, New York, NY",1993,1993-09-20
"September 21, 1993","Madison Square Garden, New York, NY",1993,1993-09-21
"September 22, 1993","Madison Square Garden, New York, NY",1993,1993-09-22
"September 24, 1993","Boston Garden, Boston, MA",1993,1993-09-24
"September 25, 1993","Boston Garden, Boston, MA",1993,1993-09-25
"September 26, 1993","Boston Garden, Boston, MA",1993,1993-09-26
"September 28, 1993","Boston Garden, Boston, MA",1993,1993-09-28
"September 29, 1993","Boston Garden, Boston, MA",1993,1993-09-29
"September 30, 1993","Boston Garden, Boston, MA",1993,1993-09-30
"December 8, 1993","Sports Arena, Atlanta, GA",1993,1993-12-08
"December 9, 1993","Sports Arena, Atlanta, GA",1993,1993-12-09
"December 10, 1993","Sports Arena, Atlanta, GA",1993,1993-12-10
"December 12, 1993","San Diego Sports Arena, San Diego, CA",1993,1993-12-12
"December 13, 1993","San Diego Sports Arena, San Diego, CA",1993,1993-12-13
"December 17, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-12-17
"December 18, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-12-18
"December 19, 1993","Oakland-Alameda County Coliseum, Oakland, CA",1993,1993-12-19
