DateLong,Venue,Year,ShortDate
"February 8, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-02-08
"February 9, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-02-09
"February 11, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-02-11
"February 12, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-02-12
"February 14, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-02-14
"March 19, 1986","Hampton Coliseum, Hampton, VA",1986,1986-03-19
"March 20, 1986","Hampton Coliseum, Hampton, VA",1986,1986-03-20
"March 21, 1986","Hampton Coliseum, Hampton, VA",1986,1986-03-21
"March 23, 1986","The Spectrum, Philadelphia, PA",1986,1986-03-23
"March 24, 1986","The Spectrum, Philadelphia, PA",1986,1986-03-24
"March 25, 1986","The Spectrum, Philadelphia, PA",1986,1986-03-25
"March 27, 1986","Cumberland County Civic Center, Portland, ME",1986,1986-03-27
"March 28, 1986","Cumberland County Civic Center, Portland, ME",1986,1986-03-28
"March 30, 1986","Providence Civic Center, Providence, RI",1986,1986-03-30
"March 31, 1986","Providence Civic Center, Providence, RI",1986,1986-03-31
"April 1, 1986","Providence Civic Center, Providence, RI",1986,1986-04-01
"April 3, 1986","Hartford Civic Center, Hartford, CT",1986,1986-04-03
"April 4, 1986","Hartford Civic Center, Hartford, CT",1986,1986-04-04
"April 12, 1986","Irvine Meadows, Irvine, CA",1986,1986-04-12
"April 13, 1986","Irvine Meadows, Irvine, CA",1986,1986-04-13
"April 18, 1986","Berkeley Community Theater, Berkeley, CA",1986,1986-04-18
"April 19, 1986","Berkeley Community Theater, Berkeley, CA",1986,1986-04-19
"April 21, 1986","Berkeley Community Theater, Berkeley, CA",1986,1986-04-21
"April 22, 1986","Berkeley Community Theater, Berkeley, CA",1986,1986-04-22
"May 3, 1986","Cal Expo, Sacramento, CA",1986,1986-05-03
"May 4, 1986","Cal Expo, Sacramento, CA",1986,1986-05-04
"May 10, 1986","Frost Amphitheatre, Palo Alto, CA",1986,1986-05-10
"May 11, 1986","Frost Amphitheatre, Palo Alto, CA",1986,1986-05-11
"June 20, 1986","Greek Theatre, Berkeley, CA",1986,1986-06-20
"June 21, 1986","Greek Theatre, Berkeley, CA",1986,1986-06-21
"June 22, 1986","Greek Theatre, Berkeley, CA",1986,1986-06-22
"June 26, 1986","Hubert H. Humphrey Metrodome, Minneapolis, MN",1986,1986-06-26
"June 28, 1986","Alpine Valley Music Theatre, East Troy, WI",1986,1986-06-28
"June 29, 1986","Alpine Valley Music Theatre, East Troy, WI",1986,1986-06-29
"June 30, 1986","River Bend Music Center, Cincinnati, OH",1986,1986-06-30
"July 2, 1986","Rubber Bowl, U. of Akron, Akron, OH",1986,1986-07-02
"July 4, 1986","Rich Stadium, Buffalo, NY",1986,1986-07-04
"July 6, 1986","RFK Stadium, Washington, DC",1986,1986-07-06
"July 7, 1986","RFK Stadium, Washington, DC",1986,1986-07-07
"December 15, 1986","Oakland-Alameda County Coliseum, Oakland, CA",1986,1986-12-15
"December 16, 1986","Oakland-Alameda County Coliseum, Oakland, CA",1986,1986-12-16
"December 17, 1986","Oakland-Alameda County Coliseum, Oakland, CA",1986,1986-12-17
"December 27, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-12-27
"December 28, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-12-28
"December 30, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-12-30
"December 31, 1986","Henry J. Kaiser Convention Center, Oakland, CA",1986,1986-12-31
