DateLong,Venue,Year,ShortDate
"February 13, 1988","Henry J. Kaiser Convention Center, Oakland, CA",1988,1988-02-13
"February 14, 1988","Henry J. Kaiser Convention Center, Oakland, CA",1988,1988-02-14
"February 16, 1988","Henry J. Kaiser Convention Center, Oakland, CA",1988,1988-02-16
"February 17, 1988","Henry J. Kaiser Convention Center, Oakland, CA",1988,1988-02-17
"March 12, 1988","S.F Civic Auditorium, San Francisco, CA",1988,1988-03-12
"March 16, 1988","Henry J. Kaiser Convention Center, Oakland, CA",1988,1988-03-16
"March 17, 1988","Henry J. Kaiser Convention Center, Oakland, CA",1988,1988-03-17
"March 18, 1988","Henry J. Kaiser Convention Center, Oakland, CA",1988,1988-03-18
"March 24, 1988","The Omni, Atlanta, GA",1988,1988-03-24
"March 26, 1988","Hampton Coliseum, Hampton, VA",1988,1988-03-26
"March 27, 1988","Hampton Coliseum, Hampton, VA",1988,1988-03-27
"March 28, 1988","Hampton Coliseum, Hampton, VA",1988,1988-03-28
"March 30, 1988","Meadowlands Arena, East Rutherford, NJ",1988,1988-03-30
"March 31, 1988","Meadowlands Arena, East Rutherford, NJ",1988,1988-03-31
"April 1, 1988","Meadowlands Arena, East Rutherford, NJ",1988,1988-04-01
"April 3, 1988","Hartford Civic Center, Hartford, CT",1988,1988-04-03
"April 4, 1988","Hartford Civic Center, Hartford, CT",1988,1988-04-04
"April 5, 1988","Hartford Civic Center, Hartford, CT",1988,1988-04-05
"April 7, 1988","The Centrum, Worcester, MA",1988,1988-04-07
"April 8, 1988","The Centrum, Worcester, MA",1988,1988-04-08
"April 9, 1988","The Centrum, Worcester, MA",1988,1988-04-09
"April 11, 1988","Joe Louis Arena, Detriot, MI",1988,1988-04-11
"April 13, 1988","Rosemont Horizon, Rosemont, IL",1988,1988-04-13
"April 14, 1988","Rosemont Horizon, Rosemont, IL",1988,1988-04-14
"April 15, 1988","Rosemont Horizon, Rosemont, IL",1988,1988-04-15
"April 22, 1988","Irvine Meadows, Irvine, CA",1988,1988-04-22
"April 23, 1988","Irvine Meadows, Irvine, CA",1988,1988-04-23
"April 24, 1988","Irvine Meadows, Irvine, CA",1988,1988-04-24
"April 30, 1988","Frost Amphitheatre, Palo Alto, CA",1988,1988-04-30
"May 1, 1988","Frost Amphitheatre, Palo Alto, CA",1988,1988-05-01
"June 17, 1988","Metropolitan Sports Center, Bloomington, MN",1988,1988-06-17
"June 19, 1988","Alpine Valley Music Theatre, East Troy, WI",1988,1988-06-19
"June 20, 1988","Alpine Valley Music Theatre, East Troy, WI",1988,1988-06-20
"June 22, 1988","Alpine Valley Music Theatre, East Troy, WI",1988,1988-06-22
"June 23, 1988","Alpine Valley Music Theatre, East Troy, WI",1988,1988-06-23
"June 25, 1988","Buckeye Lake Music Center, Hebron, OH",1988,1988-06-25
"June 26, 1988","Civic Arena, Pittsburgh, PA",1988,1988-06-26
"June 28, 1988","Performing Arts Center, Saratoga Springs, NY",1988,1988-06-28
"June 30, 1988","Silver Stadium, Rochester, NY",1988,1988-06-30
"July 2, 1988","Oxford Plains Speedway, Oxford, ME",1988,1988-07-02
"July 3, 1988","Oxford Plains Speedway, Oxford, ME",1988,1988-07-03
