DateLong,Venue,Year,ShortDate
"June 3, 1976","Paramount Theater, Portland, OR",1976,1976-06-03
"June 4, 1976","Paramount Theater, Portland, OR",1976,1976-06-04
"June 9, 1976","Boston Music Hall, Boston, MA",1976,1976-06-09
"June 10, 1976","Boston Music Hall, Boston, MA",1976,1976-06-10
"June 11, 1976","Boston Music Hall, Boston, MA",1976,1976-06-11
"June 12, 1976","Boston Music Hall, Boston, MA",1976,1976-06-12
"June 14, 1976","Beacon Theatre, New York, NY",1976,1976-06-14
"June 15, 1976","Beacon Theatre, New York, NY",1976,1976-06-15
"June 17, 1976","Capitol Theater (Late Show), Port Chester, NY",1976,1976-06-17
"June 18, 1976","Capitol Theater (Late Show), Port Chester, NY",1976,1976-06-18
"June 19, 1976","Capitol Theater (Late Show), Port Chester, NY",1976,1976-06-19
"June 21, 1976","Tower Theatre, Upper Darby, PA",1976,1976-06-21
"June 22, 1976","Tower Theatre, Upper Darby, PA",1976,1976-06-22
"June 23, 1976","Tower Theatre, Upper Darby, PA",1976,1976-06-23
"June 24, 1976","Tower Theatre, Upper Darby, PA",1976,1976-06-24
"June 26, 1976","Auditorium Theatre, Chicago, IL",1976,1976-06-26
"June 27, 1976","Auditorium Theatre, Chicago, IL",1976,1976-06-27
"June 28, 1976","Auditorium Theatre, Chicago, IL",1976,1976-06-28
"June 29, 1976","Auditorium Theatre, Chicago, IL",1976,1976-06-29
"July 12, 1976","Orpheum Theatre, San Francisco, CA",1976,1976-07-12
"July 13, 1976","Orpheum Theatre, San Francisco, CA",1976,1976-07-13
"July 14, 1976","Orpheum Theatre, San Francisco, CA",1976,1976-07-14
"July 16, 1976","Orpheum Theatre, San Francisco, CA",1976,1976-07-16
"July 17, 1976","Orpheum Theatre, San Francisco, CA",1976,1976-07-17
"July 18, 1976","Orpheum Theatre, San Francisco, CA",1976,1976-07-18
"August 2, 1976","Colt Park, Hartford, CT",1976,1976-08-02
"August 4, 1976","Roosevelt Stadium, Jersey City, NJ",1976,1976-08-04
"September 23, 1976","Cameron Indoor Stadium, Duke U. Durham, NC",1976,1976-09-23
"September 24, 1976","William and Mary College Hall, Williamsburg, VA",1976,1976-09-24
"September 25, 1976","Capital Centre, Landover, MD",1976,1976-09-25
"September 27, 1976","Community War Memorial Auditorium, Rochester, NY",1976,1976-09-27
"September 28, 1976","Onondaga County War Memorial, Syracuse, NY",1976,1976-09-28
"September 30, 1976","Auditorium, Ohio State U, Columbus, OH",1976,1976-09-30
"October 1, 1976","Market Square Arena, Indianapolis, IN",1976,1976-10-01
"October 2, 1976","Riverfront Arena, Cincinnati, OH",1976,1976-10-02
"October 3, 1976","COBO Arena, Detroit, MI",1976,1976-10-03
"October 9, 1976","Oakland-Alameda County Stadium, Oakland, CA",1976,1976-10-09
"October 10, 1976","Oakland-Alameda County Stadium, Oakland, CA",1976,1976-10-10
"October 14, 1976","Shrine Auditorium, Los Angeles, CA",1976,1976-10-14
"October 15, 1976","Shrine Auditorium, Los Angeles, CA",1976,1976-10-15
"December 31, 1976","Cow Palace, Daly City, CA",1976,1976-12-31
