DateLong,Venue,Year,ShortDate
"February 22, 1974","Winterland Arena, San Francisco, CA",1974,1974-02-22
"February 23, 1974","Winterland Arena, San Francisco, CA",1974,1974-02-23
"February 24, 1974","Winterland Arena, San Francisco, CA",1974,1974-02-24
"March 1, 1974","Mars Hotel Outtakes, San Francisco, CA",1974,1974-03-01
"March 23, 1974","Cow Palace, Daly City, CA",1974,1974-03-23
"May 12, 1974","U. of Nevada, Reno, NV",1974,1974-05-12
"May 14, 1974","Adams Field House, U. of Montana, Missoula, MT",1974,1974-05-14
"May 17, 1974","P.N.E. Coliseum, Vancouver, BC",1974,1974-05-17
"May 19, 1974","Portland Memorial Coliseum, Portland, OR",1974,1974-05-19
"May 21, 1974","Hec Edmundson Pavilion, Seattle, WA",1974,1974-05-21
"May 25, 1974","Campus Stadium, UC Santa Barbara, Goleta, CA",1974,1974-05-25
"June 8, 1974","Oakland-Alameda County Coliseum, Oakland, CA",1974,1974-06-08
"June 16, 1974","Des Moines State Fair Grandstand, Des Moines, IA",1974,1974-06-16
"June 18, 1974","Freedom Hall, Louisville, KY",1974,1974-06-18
"June 20, 1974","The Omni, Atlanta, GA",1974,1974-06-20
"June 22, 1974","Jai-Alai Fronton, Miami, FL",1974,1974-06-22
"June 23, 1974","Jai-Alai Fronton, Miami, FL",1974,1974-06-23
"June 26, 1974","Providence Civic Center, Providence, RI",1974,1974-06-26
"June 28, 1974","Boston Garden, Boston, MA",1974,1974-06-28
"June 30, 1974","Springfield Civic Center, Springfield, MA",1974,1974-06-30
"July 19, 1974","Selland Arena, Fresno, CA",1974,1974-07-19
"July 21, 1974","Hollywood Bowl, Hollywood, CA",1974,1974-07-21
"July 25, 1974","International Amphitheatre, Chicago, IL",1974,1974-07-25
"July 27, 1974","Roanoke Civic Center, Roanoke, VA",1974,1974-07-27
"July 29, 1974","Capital Centre, Landover, MD",1974,1974-07-29
"July 31, 1974","Dillon Stadium, Hartford, CT",1974,1974-07-31
"August 4, 1974","Philadelphia Civic Arena, Philadelphia, PA",1974,1974-08-04
"August 5, 1974","Philadelphia Civic Arena, Philadelphia, PA",1974,1974-08-05
"August 6, 1974","Roosevelt Stadium, Jersey City, NJ",1974,1974-08-06
"September 9, 1974","Alexandra Palace, London, England",1974,1974-09-09
"September 10, 1974","Alexandra Palace, London, England",1974,1974-09-10
"September 11, 1974","Alexandra Palace, London, England",1974,1974-09-11
"September 14, 1974","Olympia Halle, Munich, Germany",1974,1974-09-14
"September 18, 1974","Parc des Exposition, Dijon, France",1974,1974-09-18
"September 20, 1974","Palais Des Sports, Paris, France",1974,1974-09-20
"September 21, 1974","Palais Des Sports, Paris, France",1974,1974-09-21
"October 16, 1974","Winterland Arena, San Francisco, CA",1974,1974-10-16
"October 17, 1974","Winterland Arena, San Francisco, CA",1974,1974-10-17
"October 18, 1974","Winterland Arena, San Francisco, CA",1974,1974-10-18
"October 19, 1974","Winterland Arena, San Francisco, CA",1974,1974-10-19
"October 20, 1974","Winterland Arena, San Francisco, CA",1974,1974-10-20
