DateLong,Venue,Year,ShortDate
"February 25, 1990","Oakland-Alameda County Coliseum, Oakland, CA",1990,1990-02-25
"February 26, 1990","Oakland-Alameda County Coliseum, Oakland, CA",1990,1990-02-26
"February 27, 1990","Oakland-Alameda County Coliseum, Oakland, CA",1990,1990-02-27
"March 14, 1990","Capital Centre, Landover, MD",1990,1990-03-14
"March 15, 1990","Capital Centre, Landover, MD",1990,1990-03-15
"March 16, 1990","Capital Centre, Landover, MD",1990,1990-03-16
"March 18, 1990","Hartford Civic Center, Hartford, CT",1990,1990-03-18
"March 19, 1990","Hartford Civic Center, Hartford, CT",1990,1990-03-19
"March 21, 1990","Copps Coliseum, Hamilton, Ontario, Canada",1990,1990-03-21
"March 22, 1990","Copps Coliseum, Hamilton, Ontario, Canada",1990,1990-03-22
"March 24, 1990","Knickerbocker Arena, Albany, NY",1990,1990-03-24
"March 25, 1990","Knickerbocker Arena, Albany, NY",1990,1990-03-25
"March 26, 1990","Knickerbocker Arena, Albany, NY",1990,1990-03-26
"March 28, 1990","Nassau Coliseum, Uniondale, NY",1990,1990-03-28
"March 29, 1990","Nassau Coliseum, Uniondale, NY",1990,1990-03-29
"March 30, 1990","Nassau Coliseum, Uniondale, NY",1990,1990-03-30
"April 1, 1990","The Omni, Atlanta, GA",1990,1990-04-01
"April 2, 1990","The Omni, Atlanta, GA",1990,1990-04-02
"April 3, 1990","The Omni, Atlanta, GA",1990,1990-04-03
"May 5, 1990","Cal State Dominguez Hills, Carson, CA",1990,1990-05-05
"May 6, 1990","Cal State Dominguez Hills, Carson, CA",1990,1990-05-06
"June 8, 1990","Cal Expo, Sacramento, CA",1990,1990-06-08
"June 9, 1990","Cal Expo, Sacramento, CA",1990,1990-06-09
"June 10, 1990","Cal Expo, Sacramento, CA",1990,1990-06-10
"June 15, 1990","Shoreline Amphitheatre, Mountain View, CA",1990,1990-06-15
"June 16, 1990","Shoreline Amphitheatre, Mountain View, CA",1990,1990-06-16
"June 17, 1990","Shoreline Amphitheatre, Mountain View, CA",1990,1990-06-17
"June 23, 1990","Autzen Stadium, U. of Oregon, Eugene, OR",1990,1990-06-23
"June 24, 1990","Autzen Stadium, U. of Oregon, Eugene, OR",1990,1990-06-24
"July 4, 1990","Sandstone Ampitheatre, Bonner Springs, KS",1990,1990-07-04
"July 6, 1990","Cardinal Stadium, Louisville, KY",1990,1990-07-06
"July 8, 1990","Three Rivers Stadium, Pittsburgh, PA",1990,1990-07-08
"July 10, 1990","Carter-Finley Stadium, Raleigh, NC",1990,1990-07-10
"July 12, 1990","RFK Stadium, Washington, DC",1990,1990-07-12
"July 14, 1990","Foxboro Stadium, Foxboro, MA",1990,1990-07-14
"July 16, 1990","Rich Stadium, Buffalo, NY",1990,1990-07-16
"July 18, 1990","Deer Creek Music Center, Noblesville, IN",1990,1990-07-18
"July 19, 1990","Deer Creek Music Center, Noblesville, IN",1990,1990-07-19
"July 21, 1990","World Music Theater, Tinley Park, IL",1990,1990-07-21
"July 22, 1990","World Music Theater, Tinley Park, IL",1990,1990-07-22
"July 23, 1990","World Music Theater, Tinley Park, IL",1990,1990-07-23
"September 7, 1990","Richfield Coliseum, Richfield, OH",1990,1990-09-07
"September 8, 1990","Richfield Coliseum, Richfield, OH",1990,1990-09-08
"September 10, 1990","The Spectrum, Philadelphia, PA",1990,1990-09-10
"September 11, 1990","The Spectrum, Philadelphia, PA",1990,1990-09-11
"September 12, 1990","The Spectrum, Philadelphia, PA",1990,1990-09-12
"September 14, 1990","Madison Square Garden, New York, NY",1990,1990-09-14
