"DateLong","Venue","Year","ShortDate"
"January 2, 1970","Fillmore East (Early Show), New York, NY",1970,"1970-01-02"
"January 3, 1970","Fillmore East (Early Show), New York, NY",1970,"1970-01-03"
"January 10, 1970","Golden Hall, Community Concorse San Diego, CA",1970,"1970-01-10"
"January 16, 1970","Springer's Inn Portland, Portland, OR",1970,"1970-01-16"
"January 17, 1970","Oregon State U., Corvallis, OR",1970,"1970-01-17"
"January 23, 1970","Honolulu Civic Auditorium, Honolulu, HI",1970,"1970-01-23"
"January 24, 1970","Honolulu Civic Auditorium, Honolulu, HI",1970,"1970-01-24"
"January 30, 1970","The Warehouse, New Orleans, LA",1970,"1970-01-30"
"January 31, 1970","The Warehouse, New Orleans, LA",1970,"1970-01-31"
"February 1, 1970","The Warehouse, New Orleans, LA",1970,"1970-02-01"
"February 2, 1970","Fox Theatre, St. Louis, MO",1970,"1970-02-02"
"February 4, 1970","Family Dog at The Great Highway, San Francisco, CA",1970,"1970-02-04"
"February 5, 1970","Fillmore West, San Francisco, CA",1970,"1970-02-05"
"February 6, 1970","Fillmore West, San Francisco, CA",1970,"1970-02-06"
"February 7, 1970","Fillmore West, San Francisco, CA",1970,"1970-02-07"
"February 8, 1970","Fillmore West, San Francisco, CA",1970,"1970-02-08"
"February 11, 1970","Fillmore East (Early Show), New York, NY",1970,"1970-02-11"
"February 12, 1970","Ungano's Night Club, New York, NY",1970,"1970-02-12"
"February 13, 1970","Fillmore East (Early Show), New York, NY",1970,"1970-02-13"
"February 14, 1970","Fillmore East (Early Show), New York, NY",1970,"1970-02-14"
"February 23, 1970","Austin Municipal Auditorium, Austin, TX",1970,"1970-02-23"
"February 27, 1970","Family Dog at The Great Highway, San Francisco, CA",1970,"1970-02-27"
"February 28, 1970","Family Dog at The Great Highway, San Francisco, CA",1970,"1970-02-28"
"March 1, 1970","Family Dog at The Great Highway, San Francisco, CA",1970,"1970-03-01"
"March 7, 1970","Santa Monica Civic Auditorium, Santa Monica, CA",1970,"1970-03-07"
"March 8, 1970","Travelodge Theatre in the Round, Phoenix, AZ",1970,"1970-03-08"
"March 20, 1970","Capitol Theater (Late Show), Port Chester, NY",1970,"1970-03-20"
"March 21, 1970","Capitol Theater (Late Show), Port Chester, NY",1970,"1970-03-21"
"March 24, 1970","Pirates World, Dania, FL",1970,"1970-03-24"
"April 3, 1970","Field House, U. of Cincinnati, Cincinnati, OH",1970,"1970-04-03"
"April 9, 1970","Fillmore West, San Francisco, CA",1970,"1970-04-09"
"April 11, 1970","Fillmore West, San Francisco, CA",1970,"1970-04-11"
"April 12, 1970","Fillmore West, San Francisco, CA",1970,"1970-04-12"
"April 15, 1970","Winterland Arena, San Francisco, CA",1970,"1970-04-15"
"April 24, 1970","Mammoth Gardens, Denver, CO Spring 1970",1970,"1970-04-24"
"May 1, 1970","Alfred College, Alfred, NY",1970,"1970-05-01"
"May 2, 1970","Harpur College, Binghamton, NY",1970,"1970-05-02"
"May 3, 1970","Foss Hill, Wesleyan University, Middletown, CT",1970,"1970-05-03"
"May 6, 1970","Kresge Plaza, M.I.T., Cambridge, MA",1970,"1970-05-06"
"May 7, 1970","Dupont Gymnasium, M.I.T., Cambridge, MA",1970,"1970-05-07"
"May 8, 1970","Farrell Hall, S.U.C.N.Y., Delhi, NY",1970,"1970-05-08"
"May 9, 1970","Worcester Polytechnic Institute, Worcester, MA",1970,"1970-05-09"
"May 14, 1970","Merramac Community College, Kirkwood, MO",1970,"1970-05-14"
"May 15, 1970","Fillmore East (Early Show), New York, NY",1970,"1970-05-15"
"May 16, 1970","Temple U., Philadelphia, PA",1970,"1970-05-16"
"May 24, 1970","Newcastle-Under-Lyme, Newcastle, England",1970,"1970-05-24"
"June 4, 1970","Fillmore West, San Francisco, CA",1970,"1970-06-04"
"June 5, 1970","Fillmore West, San Francisco, CA",1970,"1970-06-05"
"June 6, 1970","Fillmore West, San Francisco, CA",1970,"1970-06-06"
"June 7, 1970","Fillmore West, San Francisco, CA",1970,"1970-06-07"
"June 13, 1970","Honolulu Civic Auditorium, Honolulu, HI",1970,"1970-06-13"
"June 21, 1970","Pauley Ballroom, U. of California, Berkeley, CA",1970,"1970-06-21"
"June 24, 1970","Capitol Theater (Late Show), Port Chester, NY",1970,"1970-06-24"
"July 1, 1970","Winnipeg Fairgrounds, Winnipeg, Manatoba, Canada",1970,"1970-07-01"
"July 10, 1970","Fillmore East, New York, NY",1970,"1970-07-10"
"July 11, 1970","Fillmore East, New York, NY",1970,"1970-07-11"
"July 12, 1970","Fillmore East, New York, NY",1970,"1970-07-12"
"July 14, 1970","Euphoria Ballroom, San Rafael, CA",1970,"1970-07-14"
"July 16, 1970","Euphoria Ballroom, San Rafael, CA",1970,"1970-07-16"
"July 30, 1970","Lion's Share, San Anselmo, CA",1970,"1970-07-30"
"August 5, 1970","Golden Hall, Community Concorse, San Diego, CA",1970,"1970-08-05"
"August 17, 1970","Fillmore West, San Francisco, CA",1970,"1970-08-17"
"August 18, 1970","Fillmore West, San Francisco, CA",1970,"1970-08-18"
"August 19, 1970","Fillmore West, San Francisco, CA",1970,"1970-08-19"
"August 30, 1970","KQED Studios, San Francisco, CA",1970,"1970-08-30"
"September 17, 1970","Fillmore East, New York, NY",1970,"1970-09-17"
"September 18, 1970","Fillmore East, New York, NY",1970,"1970-09-18"
"September 19, 1970","Fillmore East, New York, NY",1970,"1970-09-19"
"September 20, 1970","Fillmore East, New York, NY",1970,"1970-09-20"
"October 4, 1970","Winterland Arena, San Francisco, CA",1970,"1970-10-04"
"October 10, 1970","Colden Auditorium, Queens, NY",1970,"1970-10-10"
"October 11, 1970","Marion Shea Auditorium, Wayne, NJ",1970,"1970-10-11"
"October 17, 1970","Cleveland Music Hall, Cleveland, OH",1970,"1970-10-17"
"October 23, 1970","McDonough Arena, Georgetown U., Washington, DC",1970,"1970-10-23"
"October 24, 1970","Kiel Opera House, St. Louis, MO",1970,"1970-10-24"
"October 30, 1970","Pritchard Gym, S.U.N.Y., Stony Brook, NY",1970,"1970-10-30"
"October 31, 1970","Pritchard Gym, S.U.N.Y., Stony Brook, NY",1970,"1970-10-31"
"November 5, 1970","Capitol Theater, Port Chester, NY",1970,"1970-11-05"
"November 6, 1970","Capitol Theater, Port Chester, NY",1970,"1970-11-06"
"November 7, 1970","Capitol Theater, Port Chester, NY",1970,"1970-11-07"
"November 8, 1970","Capitol Theater, Port Chester, NY",1970,"1970-11-08"
"November 9, 1970","Action House Island, Park, NY",1970,"1970-11-09"
"November 10, 1970","Action House Island, Park, NY",1970,"1970-11-10"
"November 11, 1970","46th Street Rock Palace, Brooklyn, NY",1970,"1970-11-11"
"November 12, 1970","46th Street Rock Palace, Brooklyn, NY",1970,"1970-11-12"
"November 16, 1970","Fillmore East, New York, NY",1970,"1970-11-16"
"November 20, 1970","The Palestra, U. of Rochester Rochester, NY",1970,"1970-11-20"
"November 21, 1970","Sargent Gym, Boston U. Boston, MA",1970,"1970-11-21"
"November 23, 1970","Anderson Theater, New York, NY",1970,"1970-11-23"
"November 29, 1970","Club Agora, Columbus, OH",1970,"1970-11-29"
"December 12, 1970","Santa Rosa Fairgrounds, Santa Rosa, CA",1970,"1970-12-12"
"December 17, 1970","The Matrix, San Francisco, CA",1970,"1970-12-17"
"December 23, 1970","Winterland Arena, San Francisco, CA",1970,"1970-12-23"
"December 26, 1970","Legion Stadium, El Monte, CA",1970,"1970-12-26"
"December 27, 1970","Legion Stadium, El Monte, CA",1970,"1970-12-27"
"December 28, 1970","Legion Stadium, El Monte, CA",1970,"1970-12-28"
"December 31, 1970","Winterland Arena, San Francisco, CA",1970,"1970-12-31"
