DateLong,Venue,Year,ShortDate
"January 13, 1980","Oakland-Alameda County Coliseum, Oakland, CA",1980,1980-01-13
"March 30, 1980","Capitol Theater (Late Show), Port Chester, NY",1980,1980-03-30
"March 31, 1980","Capitol Theater (Late Show), Port Chester, NY",1980,1980-03-31
"April 1, 1980","Capitol Theater (Late Show), Port Chester, NY",1980,1980-04-01
"April 5, 1980","NBC Studios, New York, NY",1980,1980-04-05
"April 28, 1980","Boutwell Auditorium, Birmingham, AL",1980,1980-04-28
"April 29, 1980","Fox Theater, Atlanta, GA",1980,1980-04-29
"May 1, 1980","Greensboro Coliseum, Greensboro, NC",1980,1980-05-01
"May 2, 1980","Hampton Coliseum, Hampton, VA",1980,1980-05-02
"May 4, 1980","Baltimore Civic Center, Baltimore, MD",1980,1980-05-04
"May 6, 1980","Rec Hall, Penn State U., State College, PA",1980,1980-05-06
"May 7, 1980","Barton Hall, Cornell University Ithaca, NY",1980,1980-05-07
"May 8, 1980","Glenns Falls Civic Center, Glenns Falls, NY",1980,1980-05-08
"May 10, 1980","Hartford Civic Center, Hartford, CT",1980,1980-05-10
"May 11, 1980","Cumberland County Civic Center, Portland, ME",1980,1980-05-11
"May 12, 1980","Boston Garden, Boston, MA",1980,1980-05-12
"May 14, 1980","Nassau Coliseum, Uniondale, NY",1980,1980-05-14
"May 15, 1980","Nassau Coliseum, Uniondale, NY",1980,1980-05-15
"May 16, 1980","Nassau Coliseum, Uniondale, NY",1980,1980-05-16
"May 29, 1980","Des Moines Civic Center, Des Moines, IA",1980,1980-05-29
"May 30, 1980","Milwaukee Auditorium, Milwaukee, WI",1980,1980-05-30
"May 31, 1980","Metropolitan Sports Center, Bloomington, MN",1980,1980-05-31
"June 5, 1980","Compton Terrace Amphitheatre, Tempe, AZ",1980,1980-06-05
"June 7, 1980","Folsom Field, U. of Colorado, Boulder, CO",1980,1980-06-07
"June 8, 1980","Folsom Field, U. of Colorado, Boulder, CO",1980,1980-06-08
"June 12, 1980","Portland Memorial Coliseum, Portland, OR",1980,1980-06-12
"June 13, 1980","Seattle Center Coliseum, Seattle, WA",1980,1980-06-13
"June 14, 1980","Spokane Coliseum, Spokane, WA",1980,1980-06-14
"June 19, 1980","West High Auditorium, Anchorage, AK",1980,1980-06-19
"June 20, 1980","West High Auditorium, Anchorage, AK",1980,1980-06-20
"June 21, 1980","West High Auditorium, Anchorage, AK",1980,1980-06-21
"June 27, 1980","West High Auditorium, Anchorage, AK",1980,1980-06-27
"June 29, 1980","Pauley Pavilion, UCLA, Los Angeles, CA",1980,1980-06-29
"July 1, 1980","San Diego Sports Arena, San Diego, CA",1980,1980-07-01
"August 16, 1980","Mississippi River Festival, Edwardsville, IL",1980,1980-08-16
"August 17, 1980","Municipal Auditorium, Kansas City, MO",1980,1980-08-17
"August 19, 1980","Uptown Theater, Chicago, IL",1980,1980-08-19
"August 20, 1980","Uptown Theater, Chicago, IL",1980,1980-08-20
"August 21, 1980","Uptown Theater, Chicago, IL",1980,1980-08-21
"August 23, 1980","Alpine Valley Music Theatre, East Troy, WI",1980,1980-08-23
"August 24, 1980","Grand Center, Grand Rapids, MI",1980,1980-08-24
"August 26, 1980","Cleveland Public Hall, Cleveland, OH",1980,1980-08-26
"August 27, 1980","Pine Knob Music Theater, Clarkston, MI",1980,1980-08-27
"August 29, 1980","The Spectrum, Philadelphia, PA",1980,1980-08-29
"August 30, 1980","The Spectrum, Philadelphia, PA",1980,1980-08-30
"August 31, 1980","Capital Centre, Landover, MD",1980,1980-08-31
"September 2, 1980","Community War Memorial Auditorium, Rochester, NY",1980,1980-09-02
"September 3, 1980","Springfield Civic Center, Springfield, MA",1980,1980-09-03
"September 4, 1980","Providence Civic Center, Providence, RI",1980,1980-09-04
"September 6, 1980","State Fairgrounds, Lewiston, ME",1980,1980-09-06
