DateLong,Venue,Year,ShortDate
"January 5, 1979","The Spectrum, Philadelphia, PA",1979,1979-01-05
"January 7, 1979","Madison Square Garden, New York, NY",1979,1979-01-07
"January 8, 1979","Madison Square Garden, New York, NY",1979,1979-01-08
"January 10, 1979","Nassau Coliseum, Uniondale, NY",1979,1979-01-10
"January 11, 1979","Nassau Coliseum, Uniondale, NY",1979,1979-01-11
"January 12, 1979","The Spectrum, Philadelphia, PA",1979,1979-01-12
"January 14, 1979","Utica Memorial Coliseum, Utica, NY",1979,1979-01-14
"January 15, 1979","Springfield Civic Center, Springfield, MA",1979,1979-01-15
"January 17, 1979","Veterans Memorial Coliseum, New Haven, CT",1979,1979-01-17
"January 18, 1979","Providence Civic Center, Providence, RI",1979,1979-01-18
"January 20, 1979","Shea's Buffalo Theater, Buffalo, NY",1979,1979-01-20
"January 21, 1979","Masonic Temple, Portland, OR",1979,1979-01-21
"February 3, 1979","Market Square Arena, Indianapolis, IN",1979,1979-02-03
"February 4, 1979","Dane County Coliseum, Madison, WI",1979,1979-02-04
"February 7, 1979","SIU Arena, U. of Southern Illinois, Carbondale, IL",1979,1979-02-07
"February 9, 1979","Soldiers and Sailors Memorial Hall, Kansas City, KS",1979,1979-02-09
"February 10, 1979","Soldiers and Sailors Memorial Hall, Kansas City, KS",1979,1979-02-10
"February 11, 1979","Kiel Auditorium, St. Louis, MO",1979,1979-02-11
"February 17, 1979","Oakland-Alameda County Coliseum, Oakland, CA",1979,1979-02-17
"April 22, 1979","Spartan Stadium, San Jose, CA",1979,1979-04-22
"May 3, 1979","Charlotte Coliseum, Charlotte, NC",1979,1979-05-03
"May 4, 1979","Hampton Coliseum, Hampton, VA",1979,1979-05-04
"May 5, 1979","Baltimore Civic Center, Baltimore, MD",1979,1979-05-05
"May 7, 1979","Kirby Field House, Lafayette College, Easton, PA",1979,1979-05-07
"May 8, 1979","Recreation Hall, Penn State U., State College, PA",1979,1979-05-08
"May 9, 1979","Broome County Arena, Binghamton, NY",1979,1979-05-09
"May 11, 1979","Billerica Forum, Billerica, MA",1979,1979-05-11
"May 12, 1979","Alumni Stadium, U. of Mass Amherst, MA",1979,1979-05-12
"May 13, 1979","Cumberland County Civic Center, Portland, ME",1979,1979-05-13
"June 28, 1979","Sacramento Memorial Auditorium, Sacramento, CA",1979,1979-06-28
"June 30, 1979","Portland International Speedway, Portland, OR",1979,1979-06-30
"July 1, 1979","Seattle Center Coliseum, Seattle, WA",1979,1979-07-01
"August 4, 1979","Oakland Auditorium Arena, Oakland, CA",1979,1979-08-04
"August 5, 1979","Oakland Auditorium Arena, Oakland, CA",1979,1979-08-05
"August 12, 1979","Red Rocks Amphitheatre, Morrison, CO",1979,1979-08-12
"August 13, 1979","McNichols Sports Arena, Denver, CO",1979,1979-08-13
"August 14, 1979","McNichols Sports Arena, Denver, CO",1979,1979-08-14
"August 31, 1979","Glenns Falls Civic Center, Glenns Falls, NY",1979,1979-08-31
"September 1, 1979","Holleder Memorial Stadium, Rochester, NY",1979,1979-09-01
"September 2, 1979","Augusta Civic Center, Augusta, ME",1979,1979-09-02
"September 4, 1979","Madison Square Garden, New York, NY",1979,1979-09-04
"September 5, 1979","Madison Square Garden, New York, NY",1979,1979-09-05
"September 6, 1979","Madison Square Garden, New York, NY",1979,1979-09-06
"October 24, 1979","Springfield Civic Center, Springfield, MA",1979,1979-10-24
"October 25, 1979","Veterans Memorial Coliseum, New Haven, CT",1979,1979-10-25
"October 27, 1979","Cape Cod Coliseum, South Yarmouth, MA",1979,1979-10-27
"October 28, 1979","Cape Cod Coliseum, South Yarmouth, MA",1979,1979-10-28
"October 31, 1979","Nassau Coliseum, Uniondale, NY",1979,1979-10-31
"November 1, 1979","Nassau Coliseum, Uniondale, NY",1979,1979-11-01
"November 2, 1979","Nassau Coliseum, Uniondale, NY",1979,1979-11-02
"November 4, 1979","Providence Civic Center, Providence, RI",1979,1979-11-04
"November 5, 1979","The Spectrum, Philadelphia, PA",1979,1979-11-05
"November 6, 1979","The Spectrum, Philadelphia, PA",1979,1979-11-06
"November 8, 1979","Capital Centre, Landover, MD",1979,1979-11-08
"November 9, 1979","War Memorial Auditorium, Buffalo, NY",1979,1979-11-09
"November 10, 1979","Crisler Arena, Ann Arbor, MI",1979,1979-11-10
"November 23, 1979","Golden Hall, Community Concourse, San Diego, CA",1979,1979-11-23
"November 24, 1979","Golden Hall, Community Concourse, San Diego, CA",1979,1979-11-24
"November 25, 1979","Pauley Pavilion, UCLA, Los Angeles, CA",1979,1979-11-25
"November 29, 1979","Cleveland Public Hall, Cleveland, OH",1979,1979-11-29
"November 30, 1979","Stanley Theatre (Early Show), Pittsburgh, PA",1979,1979-11-30
"December 1, 1979","Stanley Theatre (Early Show), Pittsburgh, PA",1979,1979-12-01
"December 3, 1979","Uptown Theater, Chicago, IL",1979,1979-12-03
"December 4, 1979","Uptown Theater, Chicago, IL",1979,1979-12-04
"December 5, 1979","Uptown Theater, Chicago, IL",1979,1979-12-05
"December 7, 1979","Indiana Convention Center, Indianapolis, IN",1979,1979-12-07
"December 9, 1979","Kiel Auditorium, St. Louis, MO",1979,1979-12-09
"December 10, 1979","Soldiers and Sailors Memorial Hall, Kansas City, KS",1979,1979-12-10
"December 11, 1979","Soldiers and Sailors Memorial Hall, Kansas City, KS",1979,1979-12-11
"December 26, 1979","Oakland Auditorium Arena, Oakland, CA",1979,1979-12-26
"December 27, 1979","Oakland Auditorium Arena, Oakland, CA",1979,1979-12-27
"December 28, 1979","Oakland Auditorium Arena, Oakland, CA",1979,1979-12-28
"December 29, 1979","Winterland Arena, San Francisco, CA",1979,1979-12-29
"December 30, 1979","Oakland Auditorium Arena, Oakland, CA",1979,1979-12-30
"December 31, 1979","Oakland Auditorium Arena, Oakland, CA",1979,1979-12-31
