DateLong,Venue,Year,ShortDate
"January 28, 1987","S.F Civic Auditorium, San Francisco, CA",1987,1987-01-28
"January 29, 1987","S.F Civic Auditorium, San Francisco, CA",1987,1987-01-29
"January 30, 1987","S.F Civic Auditorium, San Francisco, CA",1987,1987-01-30
"March 1, 1987","Henry J. Kaiser Convention Center, Oakland, CA",1987,1987-03-01
"March 2, 1987","Henry J. Kaiser Convention Center, Oakland, CA",1987,1987-03-02
"March 3, 1987","Henry J. Kaiser Convention Center, Oakland, CA",1987,1987-03-03
"March 22, 1987","Hampton Coliseum, Hampton, VA",1987,1987-03-22
"March 23, 1987","Hampton Coliseum, Hampton, VA",1987,1987-03-23
"March 24, 1987","Hampton Coliseum, Hampton, VA",1987,1987-03-24
"March 26, 1987","Hartford Civic Center, Hartford, CT",1987,1987-03-26
"March 27, 1987","Hartford Civic Center, Hartford, CT",1987,1987-03-27
"March 28, 1987","Hampton Coliseum, Hampton, VA",1987,1987-03-28
"March 29, 1987","The Spectrum, Philadelphia, PA",1987,1987-03-29
"March 30, 1987","The Spectrum, Philadelphia, PA",1987,1987-03-30
"March 31, 1987","The Spectrum, Philadelphia, PA",1987,1987-03-31
"April 2, 1987","The Centrum, Worcester, MA",1987,1987-04-02
"April 3, 1987","The Centrum, Worcester, MA",1987,1987-04-03
"April 4, 1987","The Centrum, Worcester, MA",1987,1987-04-04
"April 6, 1987","Meadowlands Arena, East Rutherford, NJ",1987,1987-04-06
"April 7, 1987","Meadowlands Arena, East Rutherford, NJ",1987,1987-04-07
"April 9, 1987","UIC Pavilion, Chicago, IL",1987,1987-04-09
"April 10, 1987","UIC Pavilion, Chicago, IL",1987,1987-04-10
"April 11, 1987","UIC Pavilion, Chicago, IL",1987,1987-04-11
"April 17, 1987","Irvine Meadows, Irvine, CA",1987,1987-04-17
"April 18, 1987","Irvine Meadows, Irvine, CA",1987,1987-04-18
"April 19, 1987","Irvine Meadows, Irvine, CA",1987,1987-04-19
"May 2, 1987","Frost Amphitheatre, Palo Alto, CA",1987,1987-05-02
