DateLong,Venue,Year,ShortDate
"January 20, 1984","Carrier Dome, Syracuse U., Syracuse, NY",1984,1984-01-20
"March 28, 1984","Marin County Veterans Auditorium, San Rafael, CA",1984,1984-03-28
"March 29, 1984","Marin County Veterans Auditorium, San Rafael, CA",1984,1984-03-29
"March 31, 1984","Marin County Veterans Auditorium, San Rafael, CA",1984,1984-03-31
"April 1, 1984","Marin County Veterans Auditorium, San Rafael, CA",1984,1984-04-01
"April 4, 1984","Providence Civic Center, Providence, RI",1984,1984-04-04
"April 6, 1984","Aladdin Theater, Las Vegas, NV",1984,1984-04-06
"April 7, 1984","Irvine Meadows, Irvine, CA",1984,1984-04-07
"April 8, 1984","The Centrum, Worcester, MA",1984,1984-04-08
"April 13, 1984","Hampton Coliseum, Hampton, VA",1984,1984-04-13
"April 14, 1984","Hampton Coliseum, Hampton, VA",1984,1984-04-14
"April 16, 1984","Community War Memorial Auditorium, Rochester, NY",1984,1984-04-16
"April 17, 1984","Niagara Falls Convention Center, Niagara Falls, NY",1984,1984-04-17
"April 19, 1984","Philadelphia Civic Arena, Philadelphia, PA",1984,1984-04-19
"April 20, 1984","Philadelphia Civic Arena, Philadelphia, PA",1984,1984-04-20
"April 21, 1984","Philadelphia Civic Arena, Philadelphia, PA",1984,1984-04-21
"April 23, 1984","Veterans Memorial Coliseum, New Haven, CT",1984,1984-04-23
"April 24, 1984","Veterans Memorial Coliseum, New Haven, CT",1984,1984-04-24
"April 26, 1984","Providence Civic Center, Providence, RI",1984,1984-04-26
"April 27, 1984","Providence Civic Center, Providence, RI",1984,1984-04-27
"April 29, 1984","Nassau Coliseum, Uniondale, NY",1984,1984-04-29
"April 30, 1984","Nassau Coliseum, Uniondale, NY",1984,1984-04-30
"May 6, 1984","Silva Hall, Hult Center, Eugene, OR",1984,1984-05-06
"May 7, 1984","Silva Hall, Hult Center, Eugene, OR",1984,1984-05-07
"May 8, 1984","Silva Hall, Hult Center, Eugene, OR",1984,1984-05-08
"June 9, 1984","Cal Expo, Sacramento, CA",1984,1984-06-09
"June 10, 1984","Cal Expo, Sacramento, CA",1984,1984-06-10
"June 12, 1984","Red Rocks Amphitheatre, Morrison, CO",1984,1984-06-12
"June 13, 1984","Red Rocks Amphitheatre, Morrison, CO",1984,1984-06-13
"June 14, 1984","Red Rocks Amphitheatre, Morrison, CO",1984,1984-06-14
"June 21, 1984","Kingswood Music Theater, Maple, Ontario, Canada",1984,1984-06-21
"June 23, 1984","City Island, Harrisburg, PA",1984,1984-06-23
"June 24, 1984","Saratoga Performing Arts Center, Saratoga Springs, NY",1984,1984-06-24
"June 26, 1984","Merriweather Post Pavilion, Columbia, MD",1984,1984-06-26
"June 27, 1984","Merriweather Post Pavilion, Columbia, MD",1984,1984-06-27
"June 29, 1984","Blossom Music Center, Cuyahoga Falls, OH",1984,1984-06-29
"June 30, 1984","Indianapolis Sports and Music Center, Indianapolis, IN",1984,1984-06-30
"July 1, 1984","Pine Knob Music Theater, Clarkston, MI",1984,1984-07-01
"July 3, 1984","Starlight Theater, Kansas City, MO",1984,1984-07-03
"July 4, 1984","Five Seasons Center, Cedar Rapids, IA",1984,1984-07-04
"July 6, 1984","Alpine Valley Music Theatre, East Troy, WI",1984,1984-07-06
"July 7, 1984","Alpine Valley Music Theatre, East Troy, WI",1984,1984-07-07
"July 13, 1984","Greek Theatre, Berkeley, CA",1984,1984-07-13
"July 14, 1984","Greek Theatre, Berkeley, CA",1984,1984-07-14
"July 15, 1984","Greek Theatre, Berkeley, CA",1984,1984-07-15
"July 21, 1984","Ventura County Fairgrounds, Ventura, CA",1984,1984-07-21
"July 22, 1984","Ventura County Fairgrounds, Ventura, CA",1984,1984-07-22
"October 5, 1984","Charlotte Coliseum, Charlotte, NC",1984,1984-10-05
"October 6, 1984","Richmond Coliseum, Richmond, VA",1984,1984-10-06
"October 8, 1984","The Centrum, Worcester, MA",1984,1984-10-08
"October 9, 1984","The Centrum, Worcester, MA",1984,1984-10-09
"October 11, 1984","Augusta Civic Center, Augusta, ME",1984,1984-10-11
"October 12, 1984","Augusta Civic Center, Augusta, ME",1984,1984-10-12
"October 14, 1984","Hartford Civic Center, Hartford, CT",1984,1984-10-14
"October 15, 1984","Hartford Civic Center, Hartford, CT",1984,1984-10-15
"October 17, 1984","Meadowlands Arena, East Rutherford, NJ",1984,1984-10-17
"October 18, 1984","Meadowlands Arena, East Rutherford, NJ",1984,1984-10-18
"October 20, 1984","Carrier Dome, Syracuse U., Syracuse, NY",1984,1984-10-20
"October 27, 1984","Berkeley Community Theater, Berkeley, CA",1984,1984-10-27
"October 28, 1984","Berkeley Community Theater, Berkeley, CA",1984,1984-10-28
"October 30, 1984","Berkeley Community Theater, Berkeley, CA",1984,1984-10-30
"October 31, 1984","Berkeley Community Theater, Berkeley, CA",1984,1984-10-31
"November 2, 1984","Berkeley Community Theater, Berkeley, CA",1984,1984-11-02
"November 3, 1984","Berkeley Community Theater, Berkeley, CA",1984,1984-11-03
"December 28, 1984","S.F Civic Auditorium, San Francisco, CA",1984,1984-12-28
"December 29, 1984","S.F Civic Auditorium, San Francisco, CA",1984,1984-12-29
"December 31, 1984","S.F Civic Auditorium, San Francisco, CA",1984,1984-12-31
