"DateLong","Venue","Year","ShortDate"
"January 8, 1966","Fillmore Auditorium, San Francisco, CA",1966,"1966-01-08"
"January 29, 1966","Sound City Acid Test, San Francisco, CA",1966,"1966-01-29"
"February 5, 1966","The Questing Beast, Berkeley, CA",1966,"1966-02-05"
"February 12, 1966","Youth Opportunities Center, Compton, CA",1966,"1966-02-12"
"February 25, 1966","Ivar Theater, Los Angeles, CA",1966,"1966-02-25"
"March 12, 1966","Danish Center, Los Angeles, CA",1966,"1966-03-12"
"March 19, 1966","Carthay Studios, Los Angeles, CA",1966,"1966-03-19"
"March 25, 1966","Trouper's Club, Los Angeles, CA",1966,"1966-03-25"
"May 19, 1966","Avalon Ballroom, San Francisco, CA",1966,"1966-05-19"
"July 3, 1966","Fillmore Auditorium, San Francisco, CA",1966,"1966-07-03"
"July 16, 1966","Fillmore Auditorium, San Francisco, CA",1966,"1966-07-16"
"July 17, 1966","Fillmore Auditorium, San Francisco, CA",1966,"1966-07-17"
"July 29, 1966","P.N.E. Garden Auditorium, Vancouver, B.C.",1966,"1966-07-29"
"July 30, 1966","P.N.E. Garden Auditorium, Vancouver, B.C.",1966,"1966-07-30"
"September 16, 1966","Avalon Ballroom, San Francisco, CA",1966,"1966-09-16"
"October 2, 1966","Commons, S.F. State College, San Francisco, CA",1966,"1966-10-02"
"October 7, 1966","Fillmore Auditorium, San Francisco, CA",1966,"1966-10-07"
"October 31, 1966","California Hall, San Francisco, CA",1966,"1966-10-31"
"November 19, 1966","Fillmore Auditorium, San Francisco, CA",1966,"1966-11-19"
"November 29, 1966","The Matrix, San Francisco, CA",1966,"1966-11-29"
"December 1, 1966","The Matrix, San Francisco, CA",1966,"1966-12-01"
"December 4, 1966","The Matrix, Club San Francisco, CA",1966,"1966-12-04"
"December 5, 1966","Studio, San Francisco, CA",1966,"1966-12-05"
