"DateLong","Venue","Year","ShortDate"
"January 6, 1978","Swing Auditorium, San Bernardino, CA",1978,"1978-01-06"
"January 7, 1978","Golden Hall, Community Concorse, San Diego, CA",1978,"1978-01-07"
"January 8, 1978","Golden Hall, Community Concorse, San Diego, CA",1978,"1978-01-08"
"January 10, 1978","Shrine Auditorium, Los Angeles, CA",1978,"1978-01-10"
"January 11, 1978","Shrine Auditorium, Los Angeles, CA",1978,"1978-01-11"
"January 13, 1978","Arlington Theater, Santa Barbara, CA",1978,"1978-01-13"
"January 14, 1978","Bakersfield Memorial Auditorium, Bakersfield, CA",1978,"1978-01-14"
"January 15, 1978","Selland Arena, Fresno, CA",1978,"1978-01-15"
"January 17, 1978","Sacramento Memorial Auditorium, Sacramento, CA",1978,"1978-01-17"
"January 18, 1978","Stockton Civic Auditorium, Stockton, CA",1978,"1978-01-18"
"January 22, 1978","McArthur Court, U., of Oregon Eugene, OR",1978,"1978-01-22"
"January 30, 1978","Uptown Theater, Chicago, IL",1978,"1978-01-30"
"January 31, 1978","Uptown Theater, Chicago, IL",1978,"1978-01-31"
"February 1, 1978","Uptown Theater, Chicago, IL",1978,"1978-02-01"
"February 3, 1978","Dane County Coliseum, Madison, WI",1978,"1978-02-03"
"February 4, 1978","Milwaukee Auditorium, Milwaukee, WI",1978,"1978-02-04"
"February 5, 1978","Uni Dome, U. of Northern Iowa, Cedar Falls, IA",1978,"1978-02-05"
"April 6, 1978","Curtis Hixon Convention Hall, Tampa, FL",1978,"1978-04-06"
"April 7, 1978","The Sportatorium, Pembroke Pines, FL",1978,"1978-04-07"
"April 8, 1978","Veteran's Memorial Coliseum, Jacksonville, FL",1978,"1978-04-08"
"April 10, 1978","Fox Theater, Atlanta, GA",1978,"1978-04-10"
"April 11, 1978","Fox Theater, Atlanta, GA",1978,"1978-04-11"
"April 12, 1978","Cameron Indoor Stadium, Duke U., Durham, NC",1978,"1978-04-12"
"April 14, 1978","Cassell Coliseum, Virginia Tech, Blacksburg, VA",1978,"1978-04-14"
"April 15, 1978","William and Mary College Hall, Williamsburg, VA",1978,"1978-04-15"
"April 16, 1978","Huntington Civic Center, Huntington, WV",1978,"1978-04-16"
"April 18, 1978","Civic Arena, Pittsburgh, PA",1978,"1978-04-18"
"April 19, 1978","Veterans' Memorial Hall, Columbus, OH",1978,"1978-04-19"
"April 21, 1978","Rupp Arena, Lexington Center, Lexington, KY",1978,"1978-04-21"
"April 22, 1978","Nashville Municipal Auditorium, Nashville, TN",1978,"1978-04-22"
"April 24, 1978","Horton Field House, Illinois State U., Normal, IL",1978,"1978-04-24"
"May 5, 1978","Thompson Arena, Dartmouth College, Hanover, NH",1978,"1978-05-05"
"May 6, 1978","Patrick Field House, U., of Vermont Burlington, VT",1978,"1978-05-06"
"May 7, 1978","Houston Field House, Troy, NY",1978,"1978-05-07"
"May 9, 1978","Onondaga County War Memorial, Syracuse, NY",1978,"1978-05-09"
"May 10, 1978","Veterans Memorial Coliseum, New Haven, CT",1978,"1978-05-10"
"May 11, 1978","Springfield Civic Center, Springfield, MA",1978,"1978-05-11"
"May 13, 1978","The Spectrum, Philadelphia, PA",1978,"1978-05-13"
"May 14, 1978","Providence Civic Center, Providence, RI",1978,"1978-05-14"
"May 16, 1978","Uptown Theater, Chicago, IL",1978,"1978-05-16"
"May 17, 1978","Uptown Theater, Chicago, IL",1978,"1978-05-17"
"June 4, 1978","Campus Stadium, UC Santa Barbara, Goleta, CA",1978,"1978-06-04"
"June 25, 1978","Autzen Stadium, U. of Oregon, Eugene, OR",1978,"1978-06-25"
"July 1, 1978","Arrowhead Stadium, Kansas City, MO",1978,"1978-07-01"
"July 3, 1978","St. Paul Civic Center, St. Paul, MN",1978,"1978-07-03"
"July 5, 1978","Omaha Civic Auditorium, Omaha, NE",1978,"1978-07-05"
"July 7, 1978","Red Rocks Amphitheatre, Morrison, CO",1978,"1978-07-07"
"July 8, 1978","Red Rocks Amphitheatre, Morrison, CO",1978,"1978-07-08"
"August 30, 1978","Red Rocks Amphitheatre, Morrison, CO",1978,"1978-08-30"
"August 31, 1978","Red Rocks Amphitheatre, Morrison, CO",1978,"1978-08-31"
"September 2, 1978","Giants Stadium, East Rutherford, NJ",1978,"1978-09-02"
"September 14, 1978","Giza Sound and Light Theater, Cairo, Egypt",1978,"1978-09-14"
"September 15, 1978","Giza Sound and Light Theater, Cairo, Egypt",1978,"1978-09-15"
"September 16, 1978","Giza Sound and Light Theater, Cairo, Egypt",1978,"1978-09-16"
"October 17, 1978","Winterland Arena, San Francisco, CA",1978,"1978-10-17"
"October 18, 1978","Winterland Arena, San Francisco, CA",1978,"1978-10-18"
"October 20, 1978","Winterland Arena, San Francisco, CA",1978,"1978-10-20"
"October 21, 1978","Winterland Arena, San Francisco, CA",1978,"1978-10-21"
"October 22, 1978","Winterland Arena, San Francisco, CA",1978,"1978-10-22"
"November 8, 1978","Capitol Center, Landover, MD",1978,"1978-11-08"
"November 13, 1978","Boston Music Hall, Boston, MA",1978,"1978-11-13"
"November 14, 1978","Boston Music Hall, Boston, MA",1978,"1978-11-14"
"November 16, 1978","Uptown Theater, Chicago, IL",1978,"1978-11-16"
"November 17, 1978","Rambler Room, Loyola College Chicago, IL",1978,"1978-11-17"
"November 18, 1978","Uptown Theater, Chicago, IL",1978,"1978-11-18"
"November 20, 1978","Cleveland Music Hall, Cleveland, OH",1978,"1978-11-20"
"November 21, 1978","Community War Memorial Auditorium, Rochester, NY",1978,"1978-11-21"
"November 23, 1978","Capital Centre, Landover, MD",1978,"1978-11-23"
"November 24, 1978","Capitol Theater, Passaic, NJ",1978,"1978-11-24"
"November 25, 1978","Veterans Coliseum, New Haven, CT",1978,"1978-11-25"
"December 12, 1978","Jai-Alai Fronton, Miami, FL",1978,"1978-12-12"
"December 13, 1978","Curtis Hixon Convention Hall, Tampa, FL",1978,"1978-12-13"
"December 15, 1978","Boutwell Auditorium, Birmingham, AL",1978,"1978-12-15"
"December 16, 1978","Nashville Municipal Auditorium, Nashville, TN",1978,"1978-12-16"
"December 17, 1978","Fox Theater, Atlanta, GA",1978,"1978-12-17"
"December 19, 1978","Memorial Coliseum, State Fairgrounds, Jackson, MS",1978,"1978-12-19"
"December 21, 1978","The Summit, Houston, TX",1978,"1978-12-21"
"December 22, 1978","Dallas County Convention Center Arena, Dallas, TX",1978,"1978-12-22"
"December 27, 1978","Golden Hall, Community Concorse, San Diego, CA",1978,"1978-12-27"
"December 28, 1978","Golden Hall, Community Concorse, San Diego, CA",1978,"1978-12-28"
"December 30, 1978","Pauley Pavilion, UCLA, Los Angeles, CA",1978,"1978-12-30"
"December 31, 1978","Winterland Arena, San Francisco, CA",1978,"1978-12-31"
