DateLong,Venue,Year,ShortDate
"February 26, 1981","Uptown Theater, Chicago, IL",1981,1981-02-26
"February 27, 1981","Uptown Theater, Chicago, IL",1981,1981-02-27
"February 28, 1981","Uptown Theater, Chicago, IL",1981,1981-02-28
"March 2, 1981","Cleveland Music Hall, Cleveland, OH",1981,1981-03-02
"March 3, 1981","Cleveland Music Hall, Cleveland, OH",1981,1981-03-03
"March 5, 1981","Stanley Theatre (Early Show), Pittsburgh, PA",1981,1981-03-05
"March 6, 1981","Stanley Theatre (Early Show), Pittsburgh, PA",1981,1981-03-06
"March 7, 1981","Cole Field House, U. of Maryland, College Park, MD",1981,1981-03-07
"March 9, 1981","Madison Square Garden, New York, NY",1981,1981-03-09
"March 10, 1981","Madison Square Garden, New York, NY",1981,1981-03-10
"March 12, 1981","Boston Garden, Boston, MA",1981,1981-03-12
"March 13, 1981","Utica Memorial Auditorium, Utica, NY",1981,1981-03-13
"March 14, 1981","Veterans' Memorial Coliseum, Hartford, CT",1981,1981-03-14
"March 20, 1981","Rainbow Theatre, London, England",1981,1981-03-20
"March 21, 1981","Rainbow Theatre, London, England",1981,1981-03-21
"March 23, 1981","Rainbow Theatre, London, England",1981,1981-03-23
"March 24, 1981","Rainbow Theatre, London, England",1981,1981-03-24
"March 28, 1981","Gruga Halle, Essen, Germany",1981,1981-03-28
"April 25, 1981","The Stone, San Francisco, CA",1981,1981-04-25
"April 30, 1981","Greensboro Coliseum, Greensboro, NC",1981,1981-04-30
"May 1, 1981","Hampton Coliseum, Hampton, VA",1981,1981-05-01
"May 2, 1981","The Spectrum, Philadelphia, PA",1981,1981-05-02
"May 4, 1981","The Spectrum, Philadelphia, PA",1981,1981-05-04
"May 5, 1981","Civic Center, Glenns Falls, NY",1981,1981-05-05
"May 6, 1981","Nassau Coliseum, Uniondale, NY",1981,1981-05-06
"May 7, 1981","NBC Studios, New York, NY",1981,1981-05-07
"May 8, 1981","Nassau Coliseum, Uniondale, NY",1981,1981-05-08
"May 9, 1981","Nassau Coliseum, Uniondale, NY",1981,1981-05-09
"May 11, 1981","Veterans Memorial Coliseum, New Haven, CT",1981,1981-05-11
"May 12, 1981","Veterans Memorial Coliseum, New Haven, CT",1981,1981-05-12
"May 13, 1981","Providence Civic Center, Providence, RI",1981,1981-05-13
"May 15, 1981","Athletic Center, Rutgers U., New Brunswick, NJ",1981,1981-05-15
"May 16, 1981","Barton Hall, Cornell University, Ithaca, NY",1981,1981-05-16
"May 17, 1981","Onondaga County War Memorial, Syracuse, NY",1981,1981-05-17
"May 22, 1981","Warfield Theater, San Francisco, CA",1981,1981-05-22
"July 2, 1981","The Summit, Houston, TX",1981,1981-07-02
"July 4, 1981","Manor Downs, Austin, TX",1981,1981-07-04
"July 5, 1981","Zoo Amphitheater, Oklahoma City, OK",1981,1981-07-05
"July 7, 1981","Municipal Auditorium, Kansas City, MO",1981,1981-07-07
"July 8, 1981","Kiel Auditorium, St. Louis, MO",1981,1981-07-08
"July 10, 1981","St. Paul Civic Center, St. Paul, MN",1981,1981-07-10
"July 11, 1981","Alpine Valley Music Theatre, East Troy, WI",1981,1981-07-11
"July 13, 1981","McNichols Sports Arena, Denver, CO",1981,1981-07-13
"July 14, 1981","McNichols Sports Arena, Denver, CO",1981,1981-07-14
"August 6, 1981","McArthur Court, U. Of Oregon Eugene, OR",1981,1981-08-06
"August 12, 1981","Salt Palace, Salt Lake City, UT",1981,1981-08-12
"August 14, 1981","Seattle Center Coliseum, Seattle, WA",1981,1981-08-14
"August 15, 1981","Portland Memorial Coliseum, Portland, OR",1981,1981-08-15
"August 16, 1981","McArthur Court, U. of Oregon Eugene, OR",1981,1981-08-16
"August 27, 1981","Long Beach Arena, Long Beach, CA",1981,1981-08-27
"August 28, 1981","Long Beach Arena, Long Beach, CA",1981,1981-08-28
"August 30, 1981","Compton Terrace Amphitheatre, Tempe, AZ",1981,1981-08-30
"August 31, 1981","Aladdin Theater, Las Vegas, NV",1981,1981-08-31
"September 11, 1981","Greek Theatre, Berkeley, CA",1981,1981-09-11
"September 12, 1981","Greek Theatre, Berkeley, CA",1981,1981-09-12
"September 13, 1981","Greek Theatre, Berkeley, CA",1981,1981-09-13
"September 25, 1981","Stabler Arena, Lehigh U. Bethlehem, PA",1981,1981-09-25
"September 26, 1981","War Memorial Auditorium, Buffalo, NY",1981,1981-09-26
"September 27, 1981","Capital Centre, Landover, MD",1981,1981-09-27
"September 30, 1981","Playhouse Theater, Edinburgh, Scotland",1981,1981-09-30
"October 2, 1981","Rainbow Theatre, London, England",1981,1981-10-02
"October 3, 1981","Rainbow Theatre, London, England",1981,1981-10-03
"October 4, 1981","Rainbow Theatre, London, England",1981,1981-10-04
"October 6, 1981","Rainbow Theatre, London, England",1981,1981-10-06
"October 8, 1981","Forum Theater, Copenhagen, Denmark",1981,1981-10-08
"October 10, 1981","StadtHalle, Bremen, Germany",1981,1981-10-10
"October 11, 1981","Melk Weg, Amsterdam, Netherlands",1981,1981-10-11
"October 12, 1981","Olympia Halle, Munich, Germany",1981,1981-10-12
"October 13, 1981","Walter Koebel Halle, Russelsheim, Germany",1981,1981-10-13
"October 15, 1981","Club Melk Weg, Amsterdam, Netherlands",1981,1981-10-15
"October 16, 1981","Club Melk Weg, Amsterdam, Netherlands",1981,1981-10-16
"October 17, 1981","The Hippodrome, Paris, France",1981,1981-10-17
"October 19, 1981","Sports Palace, Barcelona, Spain",1981,1981-10-19
"November 11, 1981","Meadowlands Arena, East Rutherford, NJ",1981,1981-11-11
"November 29, 1981","Civic Arena, Pittsburgh, PA",1981,1981-11-29
"November 30, 1981","Hara Arena, Dayton, OH",1981,1981-11-30
"December 2, 1981","Assembly Hall, U. of Illinois, Champaign-Urbana, IL",1981,1981-12-02
"December 3, 1981","Dane County Coliseum, Madison, WI",1981,1981-12-03
"December 5, 1981","Market Square Arena, Indianapolis, IN",1981,1981-12-05
"December 6, 1981","Rosemont Horizon, Rosemont, IL",1981,1981-12-06
"December 7, 1981","Des Moines Civic Center, Des Moines, IA",1981,1981-12-07
"December 9, 1981","Events Center, U. of Colorado, Boulder, CO",1981,1981-12-09
"December 12, 1981","Fiesta Hall, San Mateo, CA",1981,1981-12-12
"December 26, 1981","Oakland Auditorium Arena, Oakland, CA",1981,1981-12-26
"December 27, 1981","Oakland Auditorium Arena, Oakland, CA",1981,1981-12-27
