DateLong,Venue,Year,ShortDate
"February 22, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-02-22
"February 23, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-02-23
"February 24, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-02-24
"March 1, 1992","The Omni, Atlanta, GA",1992,1992-03-01
"March 2, 1992","The Omni, Atlanta, GA",1992,1992-03-02
"March 3, 1992","The Omni, Atlanta, GA",1992,1992-03-03
"March 5, 1992","Hampton Coliseum, Hampton, VA",1992,1992-03-05
"March 6, 1992","Hampton Coliseum, Hampton, VA",1992,1992-03-06
"March 8, 1992","Capital Centre, Landover, MD",1992,1992-03-08
"March 9, 1992","Capital Centre, Landover, MD",1992,1992-03-09
"March 11, 1992","Nassau Coliseum, Uniondale, NY",1992,1992-03-11
"March 12, 1992","Nassau Coliseum, Uniondale, NY",1992,1992-03-12
"March 13, 1992","Nassau Coliseum, Uniondale, NY",1992,1992-03-13
"March 16, 1992","The Spectrum, Philadelphia, PA",1992,1992-03-16
"March 17, 1992","The Spectrum, Philadelphia, PA",1992,1992-03-17
"March 18, 1992","The Spectrum, Philadelphia, PA",1992,1992-03-18
"March 20, 1992","Copps Coliseum, Hamilton, Ontario, Canada",1992,1992-03-20
"March 21, 1992","Copps Coliseum, Hamilton, Ontario, Canada",1992,1992-03-21
"March 23, 1992","The Palace, Auburn Hills, MI",1992,1992-03-23
"March 24, 1992","The Palace, Auburn Hills, MI",1992,1992-03-24
"May 19, 1992","Cal Expo, Sacramento, CA",1992,1992-05-19
"May 20, 1992","Cal Expo, Sacramento, CA",1992,1992-05-20
"May 21, 1992","Cal Expo, Sacramento, CA",1992,1992-05-21
"May 23, 1992","Shoreline Amphitheatre, Mountain View, CA",1992,1992-05-23
"May 24, 1992","Shoreline Amphitheatre, Mountain View, CA",1992,1992-05-24
"May 25, 1992","Shoreline Amphitheatre, Mountain View, CA",1992,1992-05-25
"May 29, 1992","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1992,1992-05-29
"May 30, 1992","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1992,1992-05-30
"May 31, 1992","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1992,1992-05-31
"June 6, 1992","Rich Stadium, Buffalo, NY",1992,1992-06-06
"June 8, 1992","Richfield Coliseum, Richfield, OH",1992,1992-06-08
"June 9, 1992","Richfield Coliseum, Richfield, OH",1992,1992-06-09
"June 11, 1992","Knickerbocker Arena, Albany, NY",1992,1992-06-11
"June 12, 1992","Knickerbocker Arena, Albany, NY",1992,1992-06-12
"June 14, 1992","Giants Stadium, East Rutherford, NJ",1992,1992-06-14
"June 15, 1992","Giants Stadium, East Rutherford, NJ",1992,1992-06-15
"June 17, 1992","Charlotte Coliseum, Charlotte, NC",1992,1992-06-17
"June 18, 1992","Charlotte Coliseum, Charlotte, NC",1992,1992-06-18
"June 20, 1992","RFK Stadium, Washington, DC",1992,1992-06-20
"June 22, 1992","Star Lake Ampitheater, Burgettstown, PA",1992,1992-06-22
"June 23, 1992","Star Lake Ampitheater, Burgettstown, PA",1992,1992-06-23
"June 25, 1992","Soldier Field, Chicago, IL",1992,1992-06-25
"June 26, 1992","Soldier Field, Chicago, IL",1992,1992-06-26
"June 28, 1992","Deer Creek Music Center, Noblesville, IN",1992,1992-06-28
"June 29, 1992","Deer Creek Music Center, Noblesville, IN",1992,1992-06-29
"July 1, 1992","Buckeye Lake Music Center, Hebron, OH",1992,1992-07-01
"December 2, 1992","McNichols Sports Arena, Denver, CO",1992,1992-12-02
"December 3, 1992","McNichols Sports Arena, Denver, CO",1992,1992-12-03
"December 5, 1992","Compton Terrace Amphitheatre, Tempe, AZ",1992,1992-12-05
"December 6, 1992","Compton Terrace Amphitheatre, Tempe, AZ",1992,1992-12-06
"December 11, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-12-11
"December 12, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-12-12
"December 13, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-12-13
"December 16, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-12-16
"December 17, 1992","Oakland-Alameda County Coliseum, Oakland, CA",1992,1992-12-17
