DateLong,Venue,Year,ShortDate
"March 25, 1983","Compton Terrace Amphitheatre, Tempe, AZ",1983,1983-03-25
"March 26, 1983","Aladdin Theater, Las Vegas, NV",1983,1983-03-26
"March 27, 1983","Irvine Meadows, Irvine, CA",1983,1983-03-27
"March 29, 1983","Warfield Theater, San Francisco, CA",1983,1983-03-29
"March 30, 1983","Warfield Theater, San Francisco, CA",1983,1983-03-30
"March 31, 1983","Warfield Theater, San Francisco, CA",1983,1983-03-31
"April 9, 1983","Hampton Coliseum, Hampton, VA",1983,1983-04-09
"April 10, 1983","Morgantown Civic Center, Morgantown, WV",1983,1983-04-10
"April 12, 1983","Broome County Arena, Binghamton, NY",1983,1983-04-12
"April 13, 1983","Patrick Field House, U. of Vermont, Burlington, VT",1983,1983-04-13
"April 15, 1983","Community War Memorial Auditorium, Rochester, NY",1983,1983-04-15
"April 16, 1983","Meadowlands Arena, East Rutherford, NJ",1983,1983-04-16
"April 17, 1983","Meadowlands Arena, East Rutherford, NJ",1983,1983-04-17
"April 19, 1983","Alfond Arena, U. of Maine, Orono, ME",1983,1983-04-19
"April 20, 1983","Providence Civic Center, Providence, RI",1983,1983-04-20
"April 22, 1983","Veterans Memorial Coliseum, New Haven, CT",1983,1983-04-22
"April 23, 1983","Veterans Memorial Coliseum, New Haven, CT",1983,1983-04-23
"April 25, 1983","The Spectrum, Philadelphia, PA",1983,1983-04-25
"April 26, 1983","The Spectrum, Philadelphia, PA",1983,1983-04-26
"May 13, 1983","Greek Theatre, Berkeley, CA",1983,1983-05-13
"May 14, 1983","Greek Theatre, Berkeley, CA",1983,1983-05-14
"May 15, 1983","Greek Theatre, Berkeley, CA",1983,1983-05-15
"June 18, 1983","Saratoga Performing Arts Center, Saratoga Springs, NY",1983,1983-06-18
"June 20, 1983","Merriweather Post Pavilion, Columbia, MD",1983,1983-06-20
"June 21, 1983","Merriweather Post Pavilion, Columbia, MD",1983,1983-06-21
"June 22, 1983","City Island, Harrisburg, PA",1983,1983-06-22
"June 24, 1983","Dane County Coliseum, Madison, WI",1983,1983-06-24
"June 25, 1983","St. Paul Civic Center, St. Paul, MN",1983,1983-06-25
"June 27, 1983","Poplar Creek Music Theater, Hofman Estates, IL",1983,1983-06-27
"June 28, 1983","Poplar Creek Music Theater, Hofman Estates, IL",1983,1983-06-28
"July 30, 1983","Ventura County Fairgrounds, Ventura, CA",1983,1983-07-30
"July 31, 1983","Ventura County Fairgrounds, Ventura, CA",1983,1983-07-31
"August 20, 1983","Frost Amphitheatre, Palo Alto, CA",1983,1983-08-20
"August 21, 1983","Frost Amphitheatre, Palo Alto, CA",1983,1983-08-21
"August 26, 1983","Portland Memorial Coliseum, Portland, OR",1983,1983-08-26
"August 27, 1983","Seattle Center Coliseum, Seattle, WA",1983,1983-08-27
"August 29, 1983","Silva Hall, Hult Center, Eugene, OR",1983,1983-08-29
"August 30, 1983","Silva Hall, Hult Center, Eugene, OR",1983,1983-08-30
"August 31, 1983","Silva Hall, Hult Center, Eugene, OR",1983,1983-08-31
"September 2, 1983","Boise Pavillion Boise State U., Boise, ID",1983,1983-09-02
"September 4, 1983","Park West Ski Resort, Park City, UT",1983,1983-09-04
"September 6, 1983","Red Rocks Amphitheatre, Morrison, CO",1983,1983-09-06
"September 7, 1983","Red Rocks Amphitheatre, Morrison, CO",1983,1983-09-07
"September 8, 1983","Red Rocks Amphitheatre, Morrison, CO",1983,1983-09-08
"September 10, 1983","Santa Fe Downs, Santa Fe, NM",1983,1983-09-10
"September 11, 1983","Santa Fe Downs, Santa Fe, NM",1983,1983-09-11
"September 13, 1983","Manor Downs, Austin, TX",1983,1983-09-13
"September 18, 1983","Nevada County Fairgrounds, Grass Valley, CA",1983,1983-09-18
"September 24, 1983","Santa Cruz County Fairgrounds, Watsonville, CA",1983,1983-09-24
"October 8, 1983","Richmond Coliseum, Richmond, VA",1983,1983-10-08
"October 9, 1983","Greensboro Coliseum, Greensboro, NC",1983,1983-10-09
"October 11, 1983","Madison Square Garden, New York, NY",1983,1983-10-11
"October 12, 1983","Madison Square Garden, New York, NY",1983,1983-10-12
"October 14, 1983","Hartford Civic Center, Hartford, CT",1983,1983-10-14
"October 15, 1983","Hartford Civic Center, Hartford, CT",1983,1983-10-15
"October 17, 1983","Olympic Center, Lake Placid, NY",1983,1983-10-17
"October 18, 1983","Cumberland County Civic Center, Portland, ME",1983,1983-10-18
"October 20, 1983","The Centrum, Worcester, MA",1983,1983-10-20
"October 21, 1983","The Centrum, Worcester, MA",1983,1983-10-21
"October 22, 1983","Carrier Dome, Syracuse U., Syracuse, NY",1983,1983-10-22
"October 30, 1983","Marin County Veterans Auditorium, San Rafael, CA",1983,1983-10-30
"October 31, 1983","Marin County Veterans Auditorium, San Rafael, CA",1983,1983-10-31
"December 27, 1983","S.F Civic Auditorium, San Francisco, CA",1983,1983-12-27
"December 28, 1983","S.F Civic Auditorium, San Francisco, CA",1983,1983-12-28
"December 30, 1983","S.F Civic Auditorium, San Francisco, CA",1983,1983-12-30
"December 31, 1983","S.F Civic Auditorium, San Francisco, CA",1983,1983-12-31
