DateLong,Venue,Year,ShortDate
"February 19, 1995","Delta Center, Salt Lake City, UT",1995,1995-02-19
"February 20, 1995","Delta Center, Salt Lake City, UT",1995,1995-02-20
"February 21, 1995","Delta Center, Salt Lake City, UT",1995,1995-02-21
"February 24, 1995","Oakland-Alameda County Coliseum, Oakland, CA",1995,1995-02-24
"February 25, 1995","Oakland-Alameda County Coliseum, Oakland, CA",1995,1995-02-25
"February 26, 1995","Oakland-Alameda County Coliseum, Oakland, CA",1995,1995-02-26
"March 17, 1995","The Spectrum, Philadelphia, PA",1995,1995-03-17
"March 18, 1995","The Spectrum, Philadelphia, PA",1995,1995-03-18
"March 19, 1995","The Spectrum, Philadelphia, PA",1995,1995-03-19
"March 22, 1995","Charlotte Coliseum, Charlotte, NC",1995,1995-03-22
"March 23, 1995","Charlotte Coliseum, Charlotte, NC",1995,1995-03-23
"March 24, 1995","Charlotte Coliseum, Charlotte, NC",1995,1995-03-24
"March 26, 1995","The Omni, Atlanta, GA",1995,1995-03-26
"March 27, 1995","The Omni, Atlanta, GA",1995,1995-03-27
"March 28, 1995","The Omni, Atlanta, GA",1995,1995-03-28
"March 29, 1995","The Omni, Atlanta, GA",1995,1995-03-29
"March 30, 1995","The Omni, Atlanta, GA",1995,1995-03-30
"April 1, 1995","Pyramid Arena, Memphis, TN",1995,1995-04-01
"April 2, 1995","Pyramid Arena, Memphis, TN",1995,1995-04-02
"April 4, 1995","Jefferson Civic Center Coliseum, Birmingham, AL",1995,1995-04-04
"April 5, 1995","Jefferson Civic Center Coliseum, Birmingham, AL",1995,1995-04-05
"April 7, 1995","Tampa Stadium, Tampa, FL",1995,1995-04-07
"May 19, 1995","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1995,1995-05-19
"May 20, 1995","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1995,1995-05-20
"May 21, 1995","Sam Boyd Silver Bowl, U.N.L.V., Las Vegas, NV",1995,1995-05-21
"May 24, 1995","Memorial Stadium, Seattle, WA",1995,1995-05-24
"May 25, 1995","Memorial Stadium, Seattle, WA",1995,1995-05-25
"May 26, 1995","Memorial Stadium, Seattle, WA",1995,1995-05-26
"May 28, 1995","Portland Meadows, Portland, OR",1995,1995-05-28
"May 29, 1995","Portland Meadows, Portland, OR",1995,1995-05-29
"June 2, 1995","Shoreline Amphitheatre, Mountain View, CA",1995,1995-06-02
"June 3, 1995","Shoreline Amphitheatre, Mountain View, CA",1995,1995-06-03
"June 4, 1995","Shoreline Amphitheatre, Mountain View, CA",1995,1995-06-04
"June 15, 1995","Franklin County Airport, Highgate, VT",1995,1995-06-15
"June 18, 1995","Giants Stadium, East Rutherford, NJ",1995,1995-06-18
"June 19, 1995","Giants Stadium, East Rutherford, NJ",1995,1995-06-19
"June 21, 1995","Knickerbocker Arena, Albany, NY",1995,1995-06-21
"June 22, 1995","Knickerbocker Arena, Albany, NY",1995,1995-06-22
"June 24, 1995","RFK Stadium, Washington, DC",1995,1995-06-24
"June 25, 1995","RFK Stadium, Washington, DC",1995,1995-06-25
"June 27, 1995","The Palace, Auburn Hills, MI",1995,1995-06-27
"June 28, 1995","The Palace, Auburn Hills, MI",1995,1995-06-28
"June 30, 1995","Three Rivers Stadium, Pittsburgh, PA",1995,1995-06-30
"July 2, 1995","Deer Creek Music Center, Noblesville, IN",1995,1995-07-02
"July 5, 1995","Riverport Amphitheatre, Maryland Heights, MO",1995,1995-07-05
"July 6, 1995","Riverport Amphitheatre, Maryland Heights, MO",1995,1995-07-06
"July 8, 1995","Soldier Field, Chicago, IL",1995,1995-07-08
"July 9, 1995","Soldier Field, Chicago, IL",1995,1995-07-09
